"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.641375417E-1,-1.535649505E-2,4.532197416E-1,5.966362953E-1
7.741025417E-1,1.854523569E-1,5.131980777E-1,2.911990285E-1
7.840665417E-1,5.521845818E-1,7.747244835E-1,5.813886225E-2
7.940315417E-1,9.069403410E-1,9.018907547E-1,-1.633616984E-1
8.039965417E-1,1.090317369E0,1.050389171E0,-3.050514460E-1
8.139615417E-1,1.077235341E0,1.319835424E0,-4.063332081E-1
8.239265417E-1,9.843091965E-1,1.446262598E0,-4.180620313E-1
8.338915417E-1,8.139998913E-1,1.353981256E0,-3.152587712E-1
8.438565417E-1,6.820248365E-1,1.293706656E0,-1.402443647E-1
8.538215417E-1,6.096419096E-1,1.165875793E0,1.392225921E-2
8.637855417E-1,5.775039792E-1,1.004534602E0,8.521188796E-2
8.737505417E-1,5.456123948E-1,1.243653774E0,-4.702155292E-2
8.837155417E-1,6.400792599E-1,1.360406756E0,-2.256275117E-1
8.936805417E-1,7.356847525E-1,1.204373598E0,-3.021905720E-1
9.036455417E-1,7.005371451E-1,1.015436411E0,-3.283308148E-1
9.136105417E-1,5.505639911E-1,8.173594475E-1,-3.567176163E-1
9.235755417E-1,3.093522191E-1,7.560915947E-1,-3.857628703E-1
9.335405417E-1,-5.989256781E-3,7.398322821E-1,-4.974482954E-1
9.435045417E-1,-2.273666561E-1,6.296620965E-1,-5.985829234E-1
9.534695417E-1,-2.230304182E-1,4.670543671E-1,-5.152231455E-1
9.634345417E-1,8.890437894E-3,3.819685280E-1,-2.684937716E-1
9.733995417E-1,3.097705841E-1,3.974999189E-1,-4.456077702E-3
9.833645417E-1,5.870575905E-1,6.322272420E-1,1.955079138E-1
9.933295417E-1,8.278713226E-1,8.939347863E-1,3.041741550E-1
1.003294542E0,9.703683257E-1,5.110947490E-1,2.971556783E-1
1.013259542E0,8.089669347E-1,-8.007525206E-1,9.436118603E-2
1.023223542E0,5.623872280E-1,-1.124709845E0,-2.944518030E-1
1.033188542E0,4.919892550E-1,-1.050906539E0,-3.304948509E-1
1.043153542E0,6.189285517E-1,-8.032219410E-1,-4.163933918E-2
1.053118542E0,7.837206721E-1,-4.596478045E-1,2.835887671E-1
1.063083542E0,9.268410802E-1,-8.107012510E-2,4.757395685E-1
1.073048542E0,1.114737391E0,2.699909806E-1,4.504464567E-1
1.083013542E0,1.306253552E0,6.427326202E-1,3.366016448E-1
1.092978542E0,1.483756185E0,7.853322625E-1,2.759737968E-1
1.102943542E0,1.567017555E0,8.619530201E-1,1.999831647E-1
1.112907542E0,1.591468811E0,1.129272699E0,3.587447703E-1
1.122872542E0,1.497185230E0,1.127121091E0,4.813596308E-1
