"Time (s)","X (hPa)"
1.010655188E2,1.021394653E3
1.021345698E2,1.021382904E3
1.032036698E2,1.021371078E3
1.042727878E2,1.021371078E3
1.053419278E2,1.021393890E3
1.064109908E2,1.021420746E3
1.074800478E2,1.021464005E3
1.085490798E2,1.021520615E3
1.096181048E2,1.021580353E3
1.106871618E2,1.021637650E3
1.117561928E2,1.021693802E3
1.128252128E2,1.021734695E3
1.138942408E2,1.021767883E3
1.149632988E2,1.021791077E3
1.160323158E2,1.021804733E3
1.171013058E2,1.021808929E3
1.181703828E2,1.021808929E3
1.192394398E2,1.021790390E3
1.203084878E2,1.021763916E3
1.213775438E2,1.021734390E3
1.224465598E2,1.021689835E3
1.235155628E2,1.021642456E3
1.245845698E2,1.021590424E3
1.256536128E2,1.021531754E3
1.267227028E2,1.021470490E3
1.277917028E2,1.021410217E3
1.288606838E2,1.021346207E3
1.299296398E2,1.021276398E3
1.309986138E2,1.021214218E3
1.320676488E2,1.021158295E3
1.331366648E2,1.021115799E3
1.342056528E2,1.021083298E3
1.352746458E2,1.021067276E3
1.363436508E2,1.021054001E3
1.374126538E2,1.021043701E3
1.384816788E2,1.021038742E3
1.395507148E2,1.021037064E3
1.406197468E2,1.021038742E3
1.416887998E2,1.021051483E3
1.427578448E2,1.021076965E3
1.438269168E2,1.021109695E3
1.448959488E2,1.021147690E3
1.459650098E2,1.021178055E3
1.470340668E2,1.021207581E3
1.481031628E2,1.021224823E3
1.491722158E2,1.021239090E3
1.502412828E2,1.021242218E3
1.513103718E2,1.021242218E3
1.523794658E2,1.021234894E3
1.534485648E2,1.021228180E3
1.545176738E2,1.021218262E3
1.555867738E2,1.021209412E3
1.566558838E2,1.021202011E3
1.577249858E2,1.021197052E3
1.587940698E2,1.021186905E3
1.598631988E2,1.021186905E3
1.609323588E2,1.021187744E3
1.620015028E2,1.021206284E3
1.630706308E2,1.021240387E3
1.641398058E2,1.021286316E3
1.652089348E2,1.021338043E3
1.662780468E2,1.021387100E3
1.673471998E2,1.021432114E3
1.684163088E2,1.021467667E3
1.694853948E2,1.021495819E3
1.705545178E2,1.021507950E3
1.716236458E2,1.021518707E3
1.726928408E2,1.021518707E3
1.737620318E2,1.021511917E3
1.748312018E2,1.021502075E3
1.759003948E2,1.021489792E3
1.769695948E2,1.021469040E3
1.780388058E2,1.021441574E3
1.791080808E2,1.021416092E3
1.801773738E2,1.021386261E3
1.812466848E2,1.021351318E3
1.823159808E2,1.021326447E3
1.833852358E2,1.021301575E3
1.844544748E2,1.021285782E3
1.855237398E2,1.021273880E3
1.865929818E2,1.021269379E3
1.876621818E2,1.021262894E3
1.887314188E2,1.021255341E3
1.898006488E2,1.021255341E3
1.908698978E2,1.021255341E3
1.919391308E2,1.021252365E3
1.930083308E2,1.021246948E3
1.940775448E2,1.021245575E3
1.951467728E2,1.021238098E3
1.962159638E2,1.021233215E3
1.972851478E2,1.021233215E3
1.983543588E2,1.021239929E3
1.994235558E2,1.021246033E3
2.004927068E2,1.021249237E3
2.015618318E2,1.021249237E3
2.026309338E2,1.021246643E3
2.037000758E2,1.021239166E3
2.047692288E2,1.021225204E3
2.058383498E2,1.021200943E3
2.069075128E2,1.021169205E3
2.079766748E2,1.021139069E3
2.090458408E2,1.021105576E3
2.101150838E2,1.021080017E3
2.111843388E2,1.021078262E3
2.122535798E2,1.021078262E3
2.133227808E2,1.021085205E3
2.143919928E2,1.021103592E3
2.154612068E2,1.021128311E3
2.165303658E2,1.021170425E3
2.175995568E2,1.021215134E3
2.186687798E2,1.021254959E3
2.197380518E2,1.021281204E3
2.208073098E2,1.021281204E3
2.218765838E2,1.021252975E3
2.229458458E2,1.021198273E3
2.240150818E2,1.021142883E3
2.250843248E2,1.021099319E3
2.261535678E2,1.021064377E3
2.272228418E2,1.021050110E3
2.282921078E2,1.021050110E3
2.293613638E2,1.021060410E3
2.304306358E2,1.021085434E3
2.314999148E2,1.021110535E3
2.325692068E2,1.021176147E3
2.336384558E2,1.021238251E3
2.347076838E2,1.021238251E3
2.357769148E2,1.021226120E3
2.368461678E2,1.021111298E3
2.379154458E2,1.020960617E3
2.389847088E2,1.020810013E3
2.400539458E2,1.020675201E3
2.411232338E2,1.020591736E3
2.421925068E2,1.020591736E3
2.432617828E2,1.020591736E3
2.443310728E2,1.020590668E3
2.454003308E2,1.020590668E3
2.464695718E2,1.020591125E3
2.475388488E2,1.020591125E3
2.486081108E2,1.020591125E3
2.496774108E2,1.020591354E3
2.507466828E2,1.020591736E3
2.518159378E2,1.020591507E3
2.528852448E2,1.020591583E3
2.539545808E2,1.020591507E3
2.550239528E2,1.020591507E3
2.560932738E2,1.020591507E3
2.571625828E2,1.020591736E3
2.582318468E2,1.020604172E3
2.593011208E2,1.020609283E3
2.603704298E2,1.020613937E3
2.614397668E2,1.020616226E3
2.625090898E2,1.020616226E3
2.635784318E2,1.020610275E3
2.646477458E2,1.020602722E3
2.657170368E2,1.020598068E3
2.667863448E2,1.020595169E3
2.678556048E2,1.020590515E3
2.689248268E2,1.020584564E3
2.699940408E2,1.020583954E3
2.710631778E2,1.020581436E3
2.721323378E2,1.020579147E3
2.732015568E2,1.020579147E3
2.742708218E2,1.020587921E3
2.753401168E2,1.020591965E3
2.764093678E2,1.020596619E3
2.774785948E2,1.020600662E3
2.785478468E2,1.020600662E3
2.796170928E2,1.020594940E3
2.806863528E2,1.020594940E3
2.817556418E2,1.020623169E3
2.828249728E2,1.020720673E3
2.838942998E2,1.020823288E3
2.849635498E2,1.020927124E3
2.860328118E2,1.021028595E3
2.871021038E2,1.021114960E3
2.881713808E2,1.021142731E3
2.892406318E2,1.021192017E3
2.903099008E2,1.021237183E3
2.913791718E2,1.021262665E3
2.924484658E2,1.021297836E3
2.935177528E2,1.021345215E3
2.945870278E2,1.021383743E3
2.956563078E2,1.021429443E3
2.967256178E2,1.021497421E3
2.977949328E2,1.021561813E3
2.988642688E2,1.021595993E3
2.999335968E2,1.021609879E3
3.010029248E2,1.021613159E3
3.020722518E2,1.021613159E3
3.031415618E2,1.021607285E3
3.042108708E2,1.021598434E3
3.052801848E2,1.021587372E3
3.063495458E2,1.021574707E3
3.074188948E2,1.021563568E3
3.084881758E2,1.021554031E3
3.095574698E2,1.021545792E3
3.106267808E2,1.021539764E3
3.116961088E2,1.021535950E3
3.127654628E2,1.021534195E3
3.138347818E2,1.021534195E3
3.149040808E2,1.021540604E3
3.159734008E2,1.021550522E3
3.170427028E2,1.021561356E3
3.181120318E2,1.021574936E3
3.191813878E2,1.021589661E3
3.202507678E2,1.021605988E3
3.213201288E2,1.021618652E3
3.223894838E2,1.021631699E3
3.234588538E2,1.021644516E3
3.245282888E2,1.021654205E3
3.255977088E2,1.021661453E3
3.266670708E2,1.021665878E3
3.277364608E2,1.021671677E3
3.288058608E2,1.021671677E3
3.298752978E2,1.021670685E3
3.309447678E2,1.021663971E3
3.320142448E2,1.021659088E3
3.330837118E2,1.021652527E3
3.341531288E2,1.021642685E3
3.352225298E2,1.021640625E3
3.362919118E2,1.021638260E3
3.373613508E2,1.021637802E3
3.384307178E2,1.021631775E3
3.395000408E2,1.021630630E3
3.405694078E2,1.021625824E3
3.416387578E2,1.021613998E3
3.427080628E2,1.021596146E3
3.437773698E2,1.021574478E3
3.448467078E2,1.021550522E3
3.459160168E2,1.021518250E3
3.469852958E2,1.021482697E3
3.480545498E2,1.021447906E3
3.491237798E2,1.021416779E3
3.501930548E2,1.021385803E3
3.512624098E2,1.021359329E3
3.523317878E2,1.021345596E3
3.534011278E2,1.021340637E3
3.544704888E2,1.021340637E3
3.555398698E2,1.021342239E3
3.566092458E2,1.021356354E3
3.576786048E2,1.021367264E3
3.587478758E2,1.021376114E3
3.598171548E2,1.021390533E3
3.608864428E2,1.021401443E3
3.619556998E2,1.021406708E3
3.630249208E2,1.021411057E3
3.640941468E2,1.021413879E3
3.651634028E2,1.021415329E3
3.662326918E2,1.021416397E3
3.673020068E2,1.021417236E3
