"Time (s)","X (µT)","Y (µT)","Z (µT)"
8.936805417E-1,-4.906845093E0,-2.123768997E1,-3.573773575E1
9.036455417E-1,-4.643646240E0,-2.130009079E1,-3.563368225E1
9.136105417E-1,-4.085571289E0,-2.146186447E1,-3.571270370E1
9.235755417E-1,-4.195281982E0,-2.137662888E1,-3.569593048E1
9.335405417E-1,-3.860610962E0,-2.133912277E1,-3.559679413E1
9.435045417E-1,-3.453140259E0,-2.141493607E1,-3.591008759E1
9.534695417E-1,-3.147964478E0,-2.133632278E1,-3.597258377E1
9.634345417E-1,-2.774841309E0,-2.152124405E1,-3.609273148E1
9.733995417E-1,-2.686447144E0,-2.147322083E1,-3.598577118E1
9.833645417E-1,-2.486328125E0,-2.140182304E1,-3.596912384E1
9.933295417E-1,-2.520706177E0,-2.166573524E1,-3.595136642E1
1.003294542E0,-2.328689575E0,-2.196247292E1,-3.602209091E1
1.013259542E0,-2.274124146E0,-2.225539970E1,-3.587165833E1
1.023223542E0,-2.440292358E0,-2.249035072E1,-3.587018204E1
1.033188542E0,-2.969894409E0,-2.266938972E1,-3.581895447E1
1.043153542E0,-3.380676270E0,-2.283962822E1,-3.586568451E1
1.053118542E0,-3.690750122E0,-2.317070580E1,-3.583960724E1
1.063083542E0,-4.022415161E0,-2.344827843E1,-3.570195007E1
1.073048542E0,-3.930923462E0,-2.381455421E1,-3.568336487E1
1.083013542E0,-3.901977539E0,-2.432332039E1,-3.529473877E1
1.092978542E0,-3.690750122E0,-2.493173409E1,-3.495594406E1
1.102943542E0,-3.489364624E0,-2.545686913E1,-3.452500916E1
1.112907542E0,-3.212539673E0,-2.620887947E1,-3.460018158E1
1.122872542E0,-2.937820435E0,-2.686614418E1,-3.432984924E1
1.132837542E0,-2.651123047E0,-2.741646767E1,-3.391619873E1
1.142802542E0,-2.630477905E0,-2.776636314E1,-3.384484863E1
1.152767542E0,-2.265930176E0,-2.818952560E1,-3.326157379E1
1.162732542E0,-2.265930176E0,-2.818952560E1,-3.326157379E1
1.172697542E0,-2.082458496E0,-2.845664978E1,-3.300644684E1
1.182662542E0,-1.829605103E0,-2.856036758E1,-3.306064606E1
1.192626542E0,-1.284927368E0,-2.853083611E1,-3.333106232E1
1.202591542E0,-8.610534668E-1,-2.833568764E1,-3.359917450E1
1.212556542E0,-5.343322754E-1,-2.825435448E1,-3.379969025E1
1.222521542E0,-1.741943359E-1,-2.816807747E1,-3.422983551E1
1.232486542E0,-1.047973633E-1,-2.798135567E1,-3.486579132E1
1.242451542E0,4.364013672E-3,-2.802470970E1,-3.508421326E1
1.252416542E0,1.817169189E-1,-2.821687889E1,-3.500431824E1
1.262381542E0,8.842468262E-2,-2.847592545E1,-3.496505737E1
1.272345542E0,-2.424621582E-2,-2.863179779E1,-3.487985611E1
1.282310542E0,-6.024169922E-2,-2.881943130E1,-3.451836777E1
1.292275542E0,-2.881622314E-1,-2.875449371E1,-3.448767090E1
1.302240542E0,-5.747070312E-1,-2.868510628E1,-3.454315948E1
1.312205542E0,-7.003936768E-1,-2.867548561E1,-3.453686523E1
1.322170542E0,-7.743072510E-1,-2.848032951E1,-3.467768860E1
1.332135542E0,-6.881713867E-1,-2.867697716E1,-3.459423065E1
1.342100542E0,-8.774414062E-1,-2.867287636E1,-3.433910370E1
1.352064542E0,-8.769226074E-1,-2.863257408E1,-3.431834412E1
1.362029542E0,-1.075653076E0,-2.863342476E1,-3.423442459E1
1.371994417E0,-1.029769897E0,-2.859294701E1,-3.431287003E1
1.381959417E0,-1.153839111E0,-2.871348763E1,-3.429460907E1
1.391924417E0,-1.153839111E0,-2.871348763E1,-3.429460907E1
1.401889417E0,-7.054595947E-1,-2.875155067E1,-3.441513062E1
1.411854417E0,-7.770080566E-1,-2.878220558E1,-3.410893250E1
1.421819417E0,-6.357879639E-1,-2.879665947E1,-3.395253372E1
1.431784417E0,-6.789855957E-1,-2.915974617E1,-3.368665314E1
1.441748417E0,-5.551605225E-1,-2.935933113E1,-3.334983826E1
1.451713417E0,-6.588439941E-1,-2.948768806E1,-3.319888687E1
1.461678417E0,-6.384887695E-1,-2.966559982E1,-3.294657135E1
1.471643417E0,-8.146972656E-1,-2.952542114E1,-3.303607559E1
1.481608417E0,-4.660644531E-1,-2.945092010E1,-3.302841949E1
1.491573417E0,-3.562316895E-1,-2.918051529E1,-3.336968994E1
1.501538417E0,-1.977539062E-2,-2.880899811E1,-3.375236130E1
1.511503417E0,5.354003906E-1,-2.857895660E1,-3.374278259E1
1.521467417E0,8.336029053E-1,-2.821677780E1,-3.404224396E1
1.531432417E0,1.072723389E0,-2.770566559E1,-3.425204086E1
1.541397417E0,1.248809814E0,-2.724449539E1,-3.472554016E1
1.551362417E0,1.446868896E0,-2.688249969E1,-3.470097351E1
1.561327417E0,1.742538452E0,-2.655312729E1,-3.487979126E1
1.571292417E0,1.986816406E0,-2.614864159E1,-3.484198761E1
1.581257417E0,2.195663452E0,-2.577549934E1,-3.494168091E1
1.591222417E0,2.559539795E0,-2.539479256E1,-3.518746948E1
1.601187417E0,2.852371216E0,-2.470494652E1,-3.552136993E1
1.611151417E0,3.096435547E0,-2.368926620E1,-3.620655060E1
1.621116417E0,3.341537476E0,-2.284853745E1,-3.671622467E1
1.631081417E0,3.356292725E0,-2.289380264E1,-3.678055573E1
1.641046417E0,3.771072388E0,-2.166330719E1,-3.736521149E1
1.651011417E0,4.025329590E0,-2.089213943E1,-3.799682999E1
1.660976417E0,4.305358887E0,-2.046166992E1,-3.853216171E1
1.670941417E0,4.163436890E0,-2.046899033E1,-3.874116516E1
1.680906417E0,3.829757690E0,-2.127853775E1,-3.861587524E1
1.690870417E0,3.257431030E0,-2.189456558E1,-3.851251984E1
1.700835417E0,2.954452515E0,-2.260770798E1,-3.828310013E1
1.710800417E0,2.779006958E0,-2.336574173E1,-3.796923828E1
1.720765417E0,3.023315430E0,-2.391205788E1,-3.748186874E1
1.730730417E0,3.217987061E0,-2.433550453E1,-3.743327332E1
1.740695417E0,3.811279297E0,-2.484293747E1,-3.690777588E1
1.750660417E0,4.331924438E0,-2.504459763E1,-3.674036789E1
1.760625417E0,4.788772583E0,-2.511047745E1,-3.659688950E1
1.770590417E0,4.975845337E0,-2.507545471E1,-3.665875244E1
1.780554417E0,5.202087402E0,-2.518611336E1,-3.667776871E1
1.790519417E0,5.445190430E0,-2.527478981E1,-3.675069427E1
1.800484417E0,5.291793823E0,-2.516426659E1,-3.665441132E1
1.810449417E0,5.255325317E0,-2.503955269E1,-3.656056976E1
1.820414417E0,5.118347168E0,-2.491476631E1,-3.668886185E1
1.830379417E0,4.996505737E0,-2.478970909E1,-3.677579498E1
1.840344417E0,4.841003418E0,-2.465604591E1,-3.669622040E1
1.850309417E0,4.833923340E0,-2.416665077E1,-3.698368835E1
1.860274417E0,4.763824463E0,-2.381624794E1,-3.736457062E1
1.870238417E0,4.763824463E0,-2.381624794E1,-3.736457062E1
1.880203417E0,4.700027466E0,-2.334326935E1,-3.753926849E1
1.890168417E0,4.434890747E0,-2.302815628E1,-3.789710999E1
1.900133417E0,4.378402710E0,-2.257883453E1,-3.804428101E1
1.910098417E0,4.157958984E0,-2.235683441E1,-3.844868469E1
1.920063417E0,4.191101074E0,-2.209540939E1,-3.879406738E1
1.930028417E0,3.869293213E0,-2.182262421E1,-3.913882065E1
1.939993417E0,4.075759888E0,-2.169584274E1,-3.931906128E1
1.949958417E0,3.942489624E0,-2.151668549E1,-3.954603195E1
1.959922417E0,3.954315186E0,-2.139941406E1,-3.959456253E1
1.969887417E0,4.075744629E0,-2.136973763E1,-3.938529968E1
1.979852417E0,4.114151001E0,-2.124982643E1,-3.933012390E1
1.989817417E0,4.109024048E0,-2.103929329E1,-3.902398682E1
1.999782417E0,4.397705078E0,-2.103118324E1,-3.907243347E1
2.009747417E0,4.685577393E0,-2.073036766E1,-3.879741669E1
2.019712417E0,4.795593262E0,-2.056335258E1,-3.864803696E1
2.029677417E0,4.988189697E0,-2.029446602E1,-3.868124390E1
2.039641417E0,5.297393799E0,-2.021651649E1,-3.857718277E1
2.049606417E0,5.428817749E0,-2.001514626E1,-3.839867020E1
2.059571417E0,5.729187012E0,-1.989344215E1,-3.828995514E1
2.069536417E0,6.171157837E0,-1.965125084E1,-3.820072174E1
2.079501417E0,6.262969971E0,-1.958888054E1,-3.818874359E1
2.089466417E0,6.619232178E0,-1.952495766E1,-3.805737686E1
2.099431417E0,6.619232178E0,-1.952495766E1,-3.805737686E1
2.109396417E0,6.783462524E0,-1.937515068E1,-3.791260910E1
2.119361417E0,7.075592041E0,-1.923759651E1,-3.782206726E1
2.129325417E0,7.400192261E0,-1.920111275E1,-3.780072784E1
2.139290417E0,7.684219360E0,-1.895752907E1,-3.792927170E1
2.149255417E0,7.833023071E0,-1.885836983E1,-3.785815811E1
2.159220417E0,8.201751709E0,-1.859930992E1,-3.790057755E1
2.169185417E0,8.293426514E0,-1.833224297E1,-3.750786591E1
2.179150417E0,8.683609009E0,-1.818826103E1,-3.761647797E1
2.189115417E0,8.909042358E0,-1.811414146E1,-3.775256348E1
2.199080417E0,9.274047852E0,-1.781505013E1,-3.768573761E1
2.209045417E0,9.371597290E0,-1.764930916E1,-3.797363281E1
2.219009417E0,9.760574341E0,-1.753187370E1,-3.794419479E1
2.228974417E0,9.784820557E0,-1.720480919E1,-3.797836685E1
2.238939417E0,1.006140137E1,-1.691415596E1,-3.821852112E1
2.248904417E0,1.019877625E1,-1.666554070E1,-3.828933716E1
2.258869417E0,1.049778748E1,-1.636170387E1,-3.841767883E1
2.268834417E0,1.079840088E1,-1.607145119E1,-3.837435532E1
2.278799417E0,1.098052979E1,-1.586812019E1,-3.876745605E1
2.288764417E0,1.134796143E1,-1.574493217E1,-3.891604614E1
2.298729417E0,1.158839417E1,-1.546277428E1,-3.900526428E1
2.308693417E0,1.184611511E1,-1.541664696E1,-3.893595123E1
2.318658417E0,1.232432556E1,-1.530635643E1,-3.906984329E1
2.328623417E0,1.232432556E1,-1.530635643E1,-3.906984329E1
2.338588417E0,1.270458984E1,-1.515169334E1,-3.922075653E1
2.348553417E0,1.294871521E1,-1.508536339E1,-3.916773605E1
2.358518417E0,1.341642761E1,-1.496309853E1,-3.881090927E1
2.368483167E0,1.352416992E1,-1.480710030E1,-3.885089874E1
2.378448167E0,1.408335876E1,-1.468176079E1,-3.912855530E1
2.388413167E0,1.445602417E1,-1.482556725E1,-3.893520355E1
2.398377167E0,1.498577881E1,-1.494248390E1,-3.900683212E1
2.408342167E0,1.496136475E1,-1.485478783E1,-3.902412796E1
2.418307167E0,1.534672546E1,-1.465297890E1,-3.909487534E1
