"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.638716250E-1,-1.312353466E-1,-3.628425354E-1,-6.223951757E-1
7.738356250E-1,-1.290869334E-1,-2.880320889E-1,-5.404862094E-1
7.837996250E-1,1.184841773E-1,-1.653189129E-1,-4.419857687E-1
7.937636250E-1,7.819437638E-2,-2.495416224E-1,-3.979240751E-1
8.037276250E-1,-1.041384722E-1,-3.634009445E-1,-2.818381333E-1
8.136906250E-1,-1.990343969E-1,-3.529876381E-1,-5.003579378E-2
8.236546250E-1,-2.621895884E-1,-2.944207567E-1,1.404764324E-1
8.336186250E-1,-3.752069114E-1,-2.904294473E-1,2.680632627E-1
8.435826250E-1,-4.638230726E-1,-3.225160432E-1,3.081231219E-1
8.535466250E-1,-3.601281117E-1,-2.910650396E-1,2.182531714E-1
8.635106250E-1,-2.411285023E-1,-2.872567481E-1,1.032466257E-1
8.734736250E-1,-1.963679203E-1,-2.811522549E-1,-8.694692731E-2
8.834376250E-1,-2.078862043E-1,-2.959503883E-1,-2.399679762E-1
8.934016250E-1,-1.557341570E-1,-2.039239848E-1,-2.829263002E-1
9.033656250E-1,-1.643835045E-1,-1.042587787E-1,-3.019677579E-1
9.133296250E-1,-2.042660469E-1,-5.348623574E-2,-3.777055728E-1
9.232936250E-1,-1.861927418E-1,-4.244201481E-2,-3.811098218E-1
9.332566250E-1,-8.026867613E-2,2.636801898E-2,-2.622499609E-1
9.432206250E-1,-3.452693135E-2,5.880544782E-2,-1.904356277E-1
9.531846250E-1,-6.484313652E-2,1.513376355E-2,-1.538390744E-1
9.631486250E-1,1.652847067E-2,-6.383990049E-2,-6.537537932E-2
9.731126250E-1,1.333741120E-1,-9.192056894E-2,1.157573283E-1
9.830766250E-1,2.254164492E-1,-4.057207525E-2,3.564041662E-1
9.930396250E-1,2.616782494E-1,-3.710233748E-2,4.556863797E-1
1.003003625E0,2.598796459E-1,-3.247602046E-2,4.666499090E-1
1.012967625E0,1.835280195E-1,-5.236532450E-2,3.992432070E-1
1.022931625E0,1.083627932E-1,-3.130131483E-2,3.863366479E-1
1.032895625E0,-1.428311062E-1,1.670198679E-2,4.587678623E-1
1.042859625E0,-3.609632403E-3,6.281663775E-2,2.544603002E-1
1.052822625E0,1.704865359E-1,-1.461453080E-2,9.660769701E-3
1.062786625E0,2.747037993E-1,-1.113777637E-2,-8.521205842E-2
1.072750625E0,3.326805505E-1,8.613942683E-2,-4.297703505E-3
1.082714625E0,4.243844801E-1,1.047844434E-1,8.193410933E-2
1.092678625E0,6.269716452E-1,7.166230559E-2,-1.075484222E-1
1.102642625E0,6.901702523E-1,5.624612153E-2,-3.990397239E-1
1.112605625E0,7.020807382E-1,1.054288065E-1,-5.997395539E-1
1.122569625E0,4.156380688E-1,7.519636273E-2,-5.039323407E-1
1.132533625E0,1.003733039E-2,1.023707128E-1,1.990170014E-1
1.142497625E0,1.125632867E-2,1.961191213E-1,7.575225753E-1
1.152461625E0,1.248229976E-1,1.542489642E-1,1.124589139E0
1.162425625E0,1.452819666E-1,9.328589380E-2,1.233062006E0
1.172388625E0,1.964703928E-1,-1.062205195E-2,1.115929413E0
1.182352625E0,2.798391165E-1,-6.062276244E-2,1.090977005E0
1.192316625E0,4.512372333E-1,-5.673611820E-2,1.081096380E0
1.202280625E0,6.590254967E-1,2.744039834E-2,9.066914785E-1
1.212244625E0,7.066596928E-1,3.833493054E-2,6.286815172E-1
1.222208625E0,6.982961279E-1,2.740414560E-2,3.424024236E-1
1.232171625E0,5.168086405E-1,3.082885981E-2,3.098141366E-1
1.242135625E0,4.389747450E-1,9.497749329E-2,6.733536601E-2
1.252099625E0,3.901602884E-1,5.829206228E-2,-3.657141030E-1
1.262063625E0,2.529694064E-1,1.000020057E-1,-5.593692076E-1
1.272027625E0,1.494098085E-1,2.662108648E-1,-3.678231937E-1
1.281991542E0,1.745804639E-1,3.866266698E-1,-8.331171334E-2
1.291954542E0,2.011643913E-1,3.831809056E-1,-6.689799428E-3
1.301918542E0,2.743390793E-1,3.167758316E-1,-7.332934678E-2
1.311882542E0,3.900795968E-1,2.554666060E-1,-1.814993280E-1
1.321846542E0,2.886985253E-1,1.697949564E-1,-1.575421160E-1
1.331810542E0,9.216205895E-2,1.095282894E-1,7.362463117E-2
1.341774542E0,-9.689084843E-2,8.856952965E-2,3.821219748E-1
1.351737542E0,-2.623772840E-1,9.905709565E-2,4.638830066E-1
1.361701542E0,-3.267339322E-1,4.541532397E-2,4.556472033E-1
1.371665542E0,-1.197556543E-1,8.193410933E-2,2.395083851E-1
1.381629542E0,3.771161735E-3,1.662363410E-3,4.115621209E-2
1.391593542E0,7.245080262E-2,-4.693560004E-2,-1.151100415E-1
1.401557542E0,1.857492305E-1,-4.585795820E-2,-2.540726298E-1
1.411520542E0,1.236444913E-1,-1.401706231E-1,-3.360652113E-1
1.421484542E0,3.752743006E-3,-1.175144166E-1,-2.324502110E-1
1.431448542E0,8.984992370E-2,6.717924535E-2,-1.019836271E-1
1.441412542E0,9.132415295E-2,6.334756494E-2,-1.981568760E-1
1.451376542E0,1.065738375E-1,-8.952204108E-2,-3.109707159E-1
1.461340542E0,3.379763737E-2,-1.865103918E-1,-1.235563445E-1
1.471303542E0,-3.272530188E-1,-1.686529952E-1,5.419854355E-1
1.481267542E0,-3.738078189E-1,-1.001394153E-1,8.611340672E-1
1.491231542E0,-2.114189458E-1,-1.384211361E-1,8.913133013E-1
1.501195542E0,-2.358664468E-1,-2.515057021E-1,6.400607836E-1
1.511159542E0,3.011900783E-2,-1.967897969E-1,3.431590533E-1
1.521123542E0,3.335364367E-1,-6.627292693E-2,4.888272285E-4
1.531086542E0,3.312305872E-1,-5.195777357E-2,-3.153140277E-1
1.541050542E0,3.077392522E-1,2.171597421E-2,-4.275133252E-1
1.551014542E0,2.682682076E-1,6.338557184E-2,-3.817331350E-1
1.560978542E0,2.650608636E-1,5.521701157E-2,-3.098579907E-1
1.570942542E0,1.123086405E-1,2.606747210E-2,-1.638553548E-1
1.580906542E0,-4.864708006E-2,8.333393276E-2,-2.757552749E-1
1.590869542E0,-2.089368027E-1,8.171542346E-2,-5.633429754E-1
1.600833542E0,-3.529652725E-1,1.250409526E-1,-3.339274693E-1
1.610797542E0,-3.805974595E-1,2.397440279E-1,2.214299637E-1
1.620761542E0,-4.851184858E-1,1.588980854E-1,5.309979326E-1
1.630725542E0,-2.650237338E-1,1.274979526E-1,5.762998205E-1
1.640689542E0,-6.428399652E-2,5.473461628E-2,5.566672093E-1
1.650652542E0,-2.141074955E-2,7.102028131E-3,5.668372715E-1
1.660616542E0,-1.368043810E-2,3.981778443E-2,4.813837230E-1
1.670580542E0,-9.499532729E-3,2.128035665E-2,2.884589356E-1
1.680544542E0,6.421412230E-2,-2.978805542E-2,-1.109959406E-1
1.690508542E0,1.272213793E-1,-1.086710876E-1,-3.558095044E-1
1.700472542E0,1.271294318E-1,-5.471882880E-2,-3.176406348E-1
1.710436542E0,3.006097421E-2,1.405378282E-2,-2.236156529E-1
1.720399542E0,1.130646855E-1,4.289926708E-2,-5.136270243E-1
1.730363542E0,1.997398634E-1,3.869628847E-2,-9.483248234E-1
1.740327542E0,1.878714775E-1,8.878178358E-2,-1.019302420E0
1.750291542E0,9.789452299E-2,9.437815368E-2,-7.334653759E-1
1.760255542E0,-1.393552288E-2,-2.548567414E-2,-4.841073561E-1
1.770219542E0,3.161998808E-2,-7.475431323E-2,-2.973051882E-1
1.780182542E0,-8.983954489E-3,-1.466493380E-1,-2.574827260E-1
1.790146542E0,6.614165694E-2,-1.778629446E-1,-1.702580559E-1
1.800110542E0,1.540880196E-1,-1.538501841E-1,1.648388565E-2
1.810074542E0,6.369079649E-3,-1.487040496E-1,7.111442149E-2
1.820038542E0,-5.338858724E-2,-1.632443208E-1,3.899274230E-2
1.830002542E0,-3.489062816E-2,-1.483865458E-1,2.545117557E-2
1.839965542E0,-1.354726776E-2,-9.910796642E-2,4.768521309E-2
1.849929542E0,-3.157423362E-2,-7.435202479E-2,4.338984847E-2
1.859893542E0,-6.849662304E-2,-9.945762992E-2,2.665745616E-2
1.869857542E0,-2.247669697E-2,-3.864658713E-2,3.249356210E-2
1.879821542E0,2.792162418E-2,9.342681170E-2,-3.626384676E-2
1.889785542E0,1.272368744E-2,1.130103064E-1,-3.316605037E-1
1.899748542E0,-3.754643351E-2,1.259706599E-1,-4.118702692E-1
1.909712542E0,3.621765375E-3,2.115031457E-1,-2.807283318E-1
1.919676542E0,-5.494920909E-2,1.775325769E-1,-1.238878816E-1
1.929640542E0,-2.025411183E-1,7.660437226E-2,5.350962460E-2
1.939604542E0,-2.614659955E-1,5.396044493E-2,2.791922683E-1
1.949568542E0,-1.010561125E-1,6.497192144E-2,3.018122220E-1
1.959532542E0,2.087222099E-2,-2.519155920E-2,1.090727913E-1
1.969495542E0,1.119851433E-1,-4.637426734E-2,-3.773909926E-2
1.979459542E0,1.259928793E-1,-4.700693607E-2,-1.564866936E-1
1.989423542E0,9.470998317E-2,-2.582422793E-2,-8.378358364E-2
1.999387542E0,1.713238572E-1,-6.254883528E-2,-4.964461505E-2
2.009351542E0,1.516272189E-1,-6.445093453E-2,5.581050396E-2
2.019315542E0,1.365149438E-1,-7.549340129E-3,9.444364250E-2
2.029278542E0,1.075716649E-1,4.570476115E-2,-2.988628864E-2
2.039242542E0,8.114210397E-2,3.679477394E-2,-2.456374365E-1
2.049206542E0,1.012958483E-1,5.966498852E-3,-2.924777269E-1
2.059170542E0,1.286865453E-1,-6.600921750E-3,-1.453880936E-1
2.069134542E0,1.654047208E-1,-1.166928828E-2,8.477877975E-3
2.079098542E0,1.958171126E-1,-3.048738241E-3,-1.201953650E-2
2.089061542E0,2.181679483E-1,-6.828670800E-2,-2.189864123E-1
2.099025542E0,2.282076176E-1,-1.101498485E-1,-2.951931739E-1
2.108989542E0,1.768798815E-1,-5.629640758E-2,-3.975872755E-2
2.118953542E0,1.573323472E-1,-6.424686670E-2,2.153716636E-1
2.128917542E0,1.733668743E-1,-1.731910193E-1,2.069405633E-1
2.138881542E0,2.351450466E-1,-2.310948265E-1,1.548196524E-1
2.148845542E0,2.545705202E-1,-1.711649591E-1,8.966939092E-2
2.158808542E0,1.158185779E-1,-1.179395092E-1,2.017230928E-2
2.168772542E0,6.103426024E-2,-9.038216650E-2,-3.500494123E-2
2.178736542E0,1.531562658E-1,-8.318716764E-2,-3.832849860E-2
2.188700542E0,1.905018474E-1,-8.829587996E-2,-1.224015194E-1
2.198664542E0,3.079670012E-1,-8.930569410E-2,-3.071185702E-1
2.208628542E0,1.926726262E-1,-9.645216107E-2,-2.108728158E-1
2.218591542E0,2.803345218E-2,-1.771647871E-2,7.891226828E-2
2.228555542E0,3.547505736E-2,-1.906660080E-2,2.570535403E-1
2.238519542E0,5.692454472E-2,-9.954709232E-2,2.753594184E-1
2.248483542E0,-3.059526354E-2,-7.882806838E-2,2.353141773E-1
2.258447542E0,3.472851411E-2,4.274665475E-2,2.091718608E-1
2.268411542E0,8.290372387E-2,1.134470934E-1,1.516381824E-1
2.278374875E0,5.093977332E-2,1.363114607E-1,4.076912642E-2
2.288338875E0,-4.460051447E-2,1.614287603E-1,-1.641313434E-3
2.298302875E0,-1.690207851E-1,2.249102265E-1,-7.860002697E-2
2.308266875E0,-1.966485867E-1,2.123498225E-1,-1.843556929E-1
2.318230875E0,-1.586266284E-1,1.866039473E-1,-2.347171766E-1
2.328194875E0,-1.191418429E-1,1.510745108E-1,-2.629036796E-1
2.338157875E0,-2.596407871E-1,7.539692223E-2,-1.692084807E-1
2.348121875E0,-3.622863190E-1,1.281826615E-2,-3.417405188E-2
2.358085875E0,-3.626285273E-1,9.716902971E-3,5.910073221E-2
2.368049875E0,-3.839446981E-1,7.601438820E-2,2.354825771E-1
2.378013875E0,-3.291630118E-1,1.933089495E-2,2.572792429E-1
2.387977875E0,-3.372980967E-2,-1.717935348E-1,-4.950018883E-2
2.397941875E0,1.760981087E-1,-2.067183691E-1,-3.625525135E-1
2.407904875E0,1.450569950E-1,-1.516796976E-1,-2.586387205E-1
2.417868875E0,1.023780218E-1,-9.152120411E-2,-5.289040446E-2
2.427832875E0,1.209598884E-2,-1.265694147E-1,-9.832210064E-2
2.437796875E0,-7.611963809E-2,-2.090636873E-1,-1.002358943E-1
2.447760875E0,-1.777527246E-1,-2.025212377E-1,-3.448687792E-3
2.457724875E0,-2.718000720E-1,-9.044882476E-2,7.276158214E-2
2.467687875E0,-3.110629557E-1,-2.419519365E-2,-2.084532380E-2
2.477651875E0,-2.344071279E-1,-7.390120447E-2,-1.127957135E-1
2.487615875E0,-1.422671422E-1,-1.096259379E-1,-1.573590982E-1
2.497579875E0,-1.653044410E-1,-6.744061589E-2,-1.360629541E-1
2.507543875E0,-3.021886365E-1,-3.657550335E-2,6.054791808E-2
2.517507875E0,-4.007421407E-1,8.605931997E-3,2.029387289E-1
2.527471875E0,-3.235213257E-1,-5.655193090E-2,2.205651605E-1
2.537434875E0,-2.514529310E-1,-8.223173261E-2,1.391929686E-1
2.547398875E0,-2.108878724E-1,-5.446856797E-2,6.072099566E-2
2.557362875E0,-1.763569942E-1,-4.476745248E-2,2.121369839E-2
2.567326875E0,-2.369097362E-1,-4.756242156E-2,-2.099910557E-2
2.577290875E0,-2.813759109E-1,-2.687497258E-2,1.329306006E-2
