"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.535466250E-1,5.692026392E-2,-2.462202907E-1,-2.578809857E-2
8.635106250E-1,6.646503508E-2,-2.224443853E-1,-3.351179883E-2
8.734736250E-1,5.580145121E-2,-1.908736676E-1,-3.613657132E-2
8.834376250E-1,2.742813341E-2,-1.388797015E-1,-2.992395125E-2
8.934016250E-1,-1.125461515E-2,-9.696029127E-2,-7.005309686E-3
9.033656250E-1,-7.225592434E-2,-9.347873926E-2,1.370236557E-2
9.133296250E-1,-1.454985440E-1,-9.549330920E-2,3.505470231E-2
9.232936250E-1,-2.136981040E-1,-9.601874650E-2,5.027972534E-2
9.332566250E-1,-2.680959404E-1,-9.293130040E-2,6.406538188E-2
9.432206250E-1,-3.060521185E-1,-8.763454109E-2,8.260151744E-2
9.531846250E-1,-3.150400519E-1,-6.786639988E-2,8.972923458E-2
9.631486250E-1,-2.841314077E-1,-1.645594463E-2,8.943788707E-2
9.731126250E-1,-2.167546898E-1,3.247348219E-2,8.506000042E-2
9.830766250E-1,-1.339210570E-1,6.390011311E-2,7.684627920E-2
9.930396250E-1,-5.949918181E-2,7.358404994E-2,6.553352624E-2
1.003003625E0,-1.545601524E-3,7.881449908E-2,4.716224223E-2
1.012967625E0,3.299373388E-2,6.706436723E-2,4.186015576E-2
1.022931625E0,7.313662767E-2,1.798203960E-2,7.055438310E-2
1.032895625E0,9.026442468E-2,-7.790387422E-2,9.458122402E-2
1.042859625E0,6.558464468E-2,-1.279374808E-1,9.382382035E-2
1.052822625E0,3.201430663E-2,-1.373014897E-1,7.570143044E-2
1.062786625E0,1.564385556E-2,-1.338835955E-1,5.546886101E-2
1.072750625E0,2.127875388E-2,-1.045955420E-1,4.401305318E-2
1.082714625E0,9.368032217E-3,-8.808900416E-2,3.039258346E-2
1.092678625E0,-4.937960580E-2,-1.079709455E-1,1.087463554E-2
1.102642625E0,-1.616443545E-1,-1.821338534E-1,-1.320619881E-2
1.112605625E0,-3.066706359E-1,-2.681944966E-1,-1.583549008E-2
1.122569625E0,-3.862757087E-1,-3.598125875E-1,4.704938270E-3
1.132533625E0,-3.753368258E-1,-4.692470133E-1,1.870545000E-2
1.142497625E0,-2.805125713E-1,-5.052089691E-1,1.383346319E-2
1.152461625E0,-1.333215833E-1,-4.868876636E-1,4.086050671E-3
1.162425625E0,2.499962598E-2,-4.090772867E-1,-3.704227973E-3
1.172388625E0,1.980480999E-1,-2.482793629E-1,-5.323430058E-3
1.182352625E0,3.874308169E-1,-7.402606308E-2,-8.162093349E-3
1.192316625E0,5.540294051E-1,8.276204765E-2,-1.691709459E-2
1.202280625E0,6.630634665E-1,2.340884507E-1,-2.131077833E-2
1.212244625E0,7.152012587E-1,3.476438224E-1,-4.106494039E-2
1.222208625E0,7.335571051E-1,3.918576241E-1,-5.497622862E-2
1.232171625E0,6.989549398E-1,3.440241814E-1,-6.095754728E-2
1.242135625E0,5.791954994E-1,2.247776687E-1,-6.485214829E-2
1.252099625E0,4.065449238E-1,9.834276140E-2,-6.953212619E-2
1.262063625E0,2.606353760E-1,-6.109076552E-3,-6.957925856E-2
1.272027625E0,1.680716872E-1,-9.248901159E-2,-6.958185136E-2
1.281991542E0,1.127575710E-1,-1.595247686E-1,-7.170758396E-2
1.291954542E0,8.011893183E-2,-1.721026152E-1,-8.071146905E-2
1.301918542E0,6.416153908E-2,-1.464861929E-1,-9.992297739E-2
1.311882542E0,6.435328722E-2,-9.934744984E-2,-1.138648912E-1
1.321846542E0,9.593009949E-2,-4.062471911E-2,-1.013578475E-1
1.331810542E0,1.636759937E-1,4.980244674E-3,-6.312428415E-2
1.341774542E0,2.346902490E-1,4.837858304E-2,-1.458151732E-2
1.351737542E0,2.874822021E-1,7.957991958E-2,3.840873763E-2
1.361701542E0,2.868995070E-1,3.127656877E-2,6.565341353E-2
1.371665542E0,2.463421673E-1,-3.667015210E-2,6.651629508E-2
1.381629542E0,1.761332452E-1,-1.026105583E-1,5.363964662E-2
1.391593542E0,9.419812262E-2,-1.731001586E-1,2.000566758E-2
1.401557542E0,4.508448299E-3,-2.124630064E-1,-2.008848824E-2
1.411520542E0,-6.045445800E-2,-2.318544239E-1,-4.135617241E-2
1.421484542E0,-1.001203805E-1,-2.442844659E-1,-5.134781823E-2
1.431448542E0,-1.401915848E-1,-2.471136451E-1,-4.759837687E-2
1.441412542E0,-1.847452074E-1,-2.309013903E-1,-5.426426977E-2
1.451376542E0,-2.108711898E-1,-1.974226832E-1,-6.119098142E-2
1.461340542E0,-1.564127356E-1,-1.361736953E-1,-3.753918037E-2
1.471303542E0,-3.019318171E-2,-1.474376470E-1,5.220627878E-3
1.481267542E0,1.004263461E-1,-1.976685971E-1,3.052172251E-2
1.491231542E0,1.771032363E-1,-2.023529857E-1,3.273776546E-2
1.501195542E0,2.239053696E-1,-1.679161936E-1,5.294154398E-3
1.511159542E0,2.321103066E-1,-1.371917427E-1,-3.514100984E-2
1.521123542E0,1.949695945E-1,-1.349360347E-1,-7.552865148E-2
1.531086542E0,1.310948730E-1,-1.280717999E-1,-1.229937077E-1
1.541050542E0,9.053306282E-2,-8.553791046E-2,-1.600899398E-1
1.551014542E0,7.839224488E-2,-2.333765477E-2,-1.906734109E-1
1.560978542E0,1.006895602E-1,6.006615609E-2,-2.037668526E-1
1.570942542E0,9.457169473E-2,7.173933089E-2,-1.856912971E-1
1.580906542E0,1.401826274E-2,3.283934295E-2,-1.513173431E-1
1.590869542E0,-6.148989499E-2,1.281889156E-3,-1.108678728E-1
1.600833542E0,-6.643112749E-2,-1.276415493E-2,-9.282123297E-2
1.610797542E0,-3.090472519E-2,-3.571619093E-2,-7.270254940E-2
1.620761542E0,1.296472829E-2,-9.039914608E-2,-6.572426856E-2
1.630725542E0,6.147245690E-2,-1.135914177E-1,-7.674756646E-2
1.640689542E0,1.285460293E-1,-7.777297497E-2,-8.600098640E-2
1.650652542E0,2.051409334E-1,-9.104148485E-4,-8.747957647E-2
1.660616542E0,2.599674463E-1,6.864203513E-2,-7.824319601E-2
1.670580542E0,2.542663217E-1,8.977844566E-2,-6.415472925E-2
1.680544542E0,2.051019669E-1,9.932694584E-2,-6.211767346E-2
1.690508542E0,1.595312059E-1,9.926480800E-2,-7.121609151E-2
1.700472542E0,1.325267553E-1,6.788611412E-2,-5.956209451E-2
1.710436542E0,8.135111630E-2,1.392677706E-2,-5.422813073E-2
1.720399542E0,-3.157490119E-2,-4.289203137E-2,-5.088772625E-2
1.730363542E0,-1.552222818E-1,-7.939571142E-2,-4.565674439E-2
1.740327542E0,-2.276003361E-1,-8.106870949E-2,-3.985930979E-2
1.750291542E0,-2.377549261E-1,-5.184754729E-2,-3.095478937E-2
1.760255542E0,-2.090756148E-1,-1.709622517E-2,-2.379754372E-2
1.770219542E0,-1.636469662E-1,1.245388761E-2,-2.489897981E-2
1.780182542E0,-1.197948158E-1,6.586331129E-2,-3.049108386E-2
1.790146542E0,-6.494140625E-2,1.226065904E-1,-3.521459550E-2
1.800110542E0,-2.558575012E-2,1.426370144E-1,-3.769373149E-2
1.810074542E0,-1.739463583E-2,1.204761267E-1,-3.690266982E-2
1.820038542E0,-3.204654530E-2,7.326200604E-2,-4.229503870E-2
1.830002542E0,-5.286649987E-2,3.240057826E-2,-5.434134603E-2
1.839965542E0,-7.050008327E-2,-8.969234303E-3,-7.238852233E-2
1.849929542E0,-8.325591683E-2,-4.383512959E-2,-8.194948733E-2
1.859893542E0,-9.425476938E-2,-6.489327550E-2,-8.137983829E-2
1.869857542E0,-9.932936728E-2,-6.698626280E-2,-8.039195091E-2
1.879821542E0,-1.450971216E-1,-8.905986696E-2,-7.599347085E-2
1.889785542E0,-2.060159296E-1,-1.061791927E-1,-6.931145489E-2
1.899748542E0,-2.382540256E-1,-9.701020271E-2,-5.755333602E-2
1.909712542E0,-2.358897775E-1,-7.730492949E-2,-3.862541914E-2
1.919676542E0,-2.069769055E-1,-4.890577123E-2,-1.866130158E-2
1.929640542E0,-1.540103555E-1,-5.777170137E-2,6.206764840E-3
1.939604542E0,-8.812747896E-2,-7.337063551E-2,1.258263923E-2
1.949568542E0,-5.654519051E-2,-6.322536618E-2,6.042377092E-3
1.959532542E0,-5.035307631E-2,-5.515199900E-2,-1.150545664E-2
1.969495542E0,-6.671916693E-2,-6.864555180E-2,-2.834000252E-2
1.979459542E0,-7.522876561E-2,-6.067417562E-2,-3.896708041E-2
1.989423542E0,-6.566880643E-2,-5.316236615E-2,-5.051280931E-2
1.999387542E0,-4.490733147E-2,-3.124454990E-2,-5.970710516E-2
2.009351542E0,-1.038009394E-2,-6.755436305E-3,-6.692823768E-2
2.019315542E0,-2.944547450E-3,-3.645396791E-3,-6.835622340E-2
2.029278542E0,-4.564033076E-2,-2.700814977E-2,-6.699227542E-2
2.039242542E0,-9.745719284E-2,-6.540107727E-2,-6.437678635E-2
2.049206542E0,-1.294702441E-1,-9.084625542E-2,-7.807794958E-2
2.059170542E0,-1.329110563E-1,-1.130996272E-1,-9.541060776E-2
2.069134542E0,-1.242344156E-1,-1.284623444E-1,-1.048860103E-1
2.079098542E0,-1.370223910E-1,-1.342760175E-1,-1.124073118E-1
2.089061542E0,-1.638641208E-1,-1.283089370E-1,-1.185978279E-1
2.099025542E0,-1.667118371E-1,-9.969327599E-2,-1.131761670E-1
2.108989542E0,-1.297839731E-1,-7.837212831E-2,-1.081901267E-1
2.118953542E0,-8.552303165E-2,-7.981822640E-2,-1.128953993E-1
2.128917542E0,-5.270784348E-2,-7.950034738E-2,-1.353526413E-1
2.138881542E0,-2.868107148E-2,-7.040166110E-2,-1.448393613E-1
2.148845542E0,-1.282658614E-2,-5.688210949E-2,-1.281927079E-1
