"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
4.063317251E1,5.217018387E1,4.488629946E0,-3.346357588E-2,1.227515372E0,2.576016541E2,1.424595455E1,7.450062461E0
4.163348532E1,5.217018056E1,4.488607868E0,-3.603687277E-1,1.348028349E0,2.576016541E2,1.424595456E1,7.501622126E0
4.263377869E1,5.217017728E1,4.488589524E0,2.666116161E-1,1.293502521E0,2.576016541E2,1.424595455E1,7.549873727E0
4.363405466E1,5.217017623E1,4.488567744E0,-6.938008592E-4,1.405383132E0,2.610481262E2,1.424595455E1,7.494841565E0
4.463431466E1,5.217017431E1,4.488547855E0,-1.358895423E0,1.461185345E0,2.610481262E2,1.424595459E1,7.638919432E0
4.563456059E1,5.217017281E1,4.488531313E0,-1.276974262E0,1.350268139E0,2.620048218E2,1.424595459E1,7.549815600E0
4.663478923E1,5.217016871E1,4.488522846E0,-2.842300050E-1,1.126649225E0,2.620048218E2,1.424595456E1,7.490450390E0
4.763500643E1,5.217016123E1,4.488502404E0,-1.603340162E-1,1.416669646E0,2.620048218E2,1.424595454E1,7.516472528E0
4.863521147E1,5.217016063E1,4.488495358E0,-9.078587778E-1,1.253902405E0,2.620048218E2,1.424595452E1,7.364680548E0
4.963540232E1,5.217015904E1,4.488477038E0,-6.933199083E-1,1.308724959E0,2.620048218E2,1.424595455E1,7.106827398E0
5.063558471E1,5.217015839E1,4.488469530E0,-3.331662705E-1,1.157634395E0,2.620048218E2,1.424595456E1,7.025656247E0
5.163575661E1,5.217015687E1,4.488451828E0,-2.243111758E-1,1.161325509E0,2.620048218E2,1.424595460E1,7.037952944E0
5.263591743E1,5.217015512E1,4.488431568E0,-1.041719495E0,1.198811546E0,2.620048218E2,1.424595461E1,6.795757385E0
5.363606977E1,5.217015318E1,4.488409166E0,-6.636489155E-1,1.360049196E0,2.620048218E2,1.424595458E1,6.824285797E0
5.463621342E1,5.217015163E1,4.488391206E0,-2.950662496E-1,1.242940948E0,2.620048218E2,1.424595457E1,6.796786475E0
5.563634849E1,5.217015026E1,4.488375346E0,-5.930100707E-1,1.267365616E0,2.620048218E2,1.424595456E1,6.546012551E0
5.663647604E1,5.217014942E1,4.488365632E0,-2.768190168E-1,1.023847349E0,2.620048218E2,1.424595458E1,6.552265610E0
5.763659608E1,5.217014807E1,4.488349924E0,-3.552510720E-1,7.367307881E-1,2.620048218E2,1.424595460E1,6.563328141E0
5.863671088E1,5.217014810E1,4.488350303E0,-5.182348164E-1,2.951973780E-1,2.620048218E2,1.424595459E1,6.156768859E0
5.963681805E1,5.217014562E1,4.488321609E0,-5.242864918E-1,8.528414945E-1,2.620048218E2,1.424595454E1,6.418758303E0
6.063692105E1,5.217013859E1,4.488310464E0,-6.191796688E-1,9.128613378E-1,2.209985577E2,1.424595454E1,6.366579899E0
6.163701785E1,5.217013028E1,4.488286650E0,-4.346118355E-1,1.217221071E0,2.271324063E2,1.424595454E1,6.368380288E0
6.263710916E1,5.217011941E1,4.488263018E0,-3.027702961E-2,1.532154815E0,2.276154533E2,1.424595453E1,6.171275350E0
6.363719583E1,5.217011148E1,4.488229351E0,-6.359216589E-1,1.626000718E0,2.431084924E2,1.424595457E1,6.356172998E0
6.463727820E1,5.217010314E1,4.488210680E0,-2.129377280E0,1.528597735E0,2.506856667E2,1.424595460E1,6.343125489E0
6.563735509E1,5.217009061E1,4.488204390E0,-6.556170443E-1,1.168600017E0,2.360540551E2,1.375952309E1,6.155433723E0
6.663742924E1,5.217007607E1,4.488192975E0,-4.052126445E-1,1.212623385E0,2.314315111E2,1.321448547E1,6.112769369E0
6.763749945E1,5.217004252E1,4.488180253E0,-4.190362832E-1,1.358393998E0,2.208578033E2,1.283454342E1,5.979099220E0
6.863756657E1,5.217003335E1,4.488163177E0,-2.288804017E-1,1.252817196E0,2.208578033E2,1.246624329E1,6.044926942E0
6.963762999E1,5.217002858E1,4.488145278E0,-6.737880511E-1,1.214517046E0,2.208578033E2,1.199318514E1,5.822978083E0
7.063768995E1,5.217001408E1,4.488121337E0,-9.824238094E-1,1.634696131E0,2.208578033E2,1.154232131E1,5.547796686E0
7.163774776E1,5.217000937E1,4.488117927E0,-7.633513641E-1,1.163098027E0,2.208578033E2,1.112623177E1,5.368677627E0
7.263780260E1,5.217000495E1,4.488110282E0,-7.838522987E-1,1.013362210E0,2.208578033E2,1.086880831E1,5.064430224E0
7.363785481E1,5.216999277E1,4.488109590E0,-5.029943008E-1,1.189676287E0,2.208578033E2,1.049490354E1,5.037818489E0
7.463790500E1,5.216998710E1,4.488094404E0,-4.564062012E-1,1.231741480E0,2.208578033E2,1.024733494E1,4.942033139E0
7.563795233E1,5.216997619E1,4.488086984E0,3.404850783E-1,1.314448494E0,2.208578033E2,1.001151696E1,4.861299191E0
7.663799834E1,5.216996733E1,4.488074521E0,7.929738704E-2,1.212298394E0,2.208578033E2,9.750575462E0,4.721879850E0
7.763804209E1,5.216996021E1,4.488064561E0,-1.235986451E0,1.120427152E0,2.199842224E2,9.622604261E0,4.777411357E0
7.863808393E1,5.216994846E1,4.488048537E0,-8.549940633E-1,1.484863191E0,2.199842224E2,9.338217514E0,4.643123069E0
7.963812459E1,5.216994245E1,4.488040338E0,-5.637464263E-1,1.219864823E0,2.199842224E2,9.056032227E0,4.845455429E0
8.063816309E1,5.216992977E1,4.488023039E0,4.411580507E-2,1.597306367E0,2.199842224E2,8.780765762E0,4.598507490E0
8.163819945E1,5.216992451E1,4.488015875E0,1.102580633E-1,1.199813676E0,2.199842224E2,8.710847458E0,4.687277976E0
8.263823521E1,5.216991912E1,4.488008521E0,6.414761674E-2,1.090360586E0,2.199842224E2,8.600904948E0,4.657572243E0
8.363827026E1,5.216991570E1,4.488003859E0,2.030013716E-1,9.058548611E-1,2.199842224E2,8.476953182E0,4.610147935E0
8.463830316E1,5.216990904E1,4.487994768E0,5.211684871E-1,1.005912200E0,2.199842224E2,8.347221851E0,4.651455148E0
8.563833451E1,5.216989773E1,4.487979338E0,-4.823443433E-1,1.296418488E0,2.199842224E2,8.263545659E0,4.665981886E0
8.663836586E1,5.216988735E1,4.487965182E0,-4.878972964E-1,1.457996128E0,2.199842224E2,8.145067211E0,4.555162570E0
8.763839579E1,5.216987890E1,4.487953658E0,-1.991469720E-1,1.353663665E0,2.199842224E2,8.033015466E0,4.552601264E0
8.863842416E1,5.216986845E1,4.487939414E0,-1.030841907E-1,1.582316879E0,2.199842224E2,7.963621623E0,4.512122602E0
8.963845289E1,5.216986324E1,4.487932304E0,2.913444303E-3,1.197495046E0,2.199842224E2,7.883007198E0,4.667186533E0
9.063847995E1,5.216985114E1,4.487915810E0,7.783332588E-1,1.386327979E0,2.185837250E2,7.835028453E0,4.670175795E0
9.163850629E1,5.216984530E1,4.487908234E0,9.962406596E-1,1.189668893E0,2.185837250E2,7.752090683E0,4.435514934E0
9.263853145E1,5.216983984E1,4.487901142E0,6.817714749E-1,9.852178473E-1,2.185837250E2,7.623581656E0,4.487059091E0
9.363855660E1,5.216982988E1,4.487888225E0,-1.780744614E-1,1.182329016E0,2.185837250E2,7.608215746E0,4.538583407E0
9.463858056E1,5.216981886E1,4.487873919E0,-3.190415082E-1,1.395350055E0,2.185837250E2,7.559203552E0,4.547138773E0
9.563860440E1,5.216981390E1,4.487867493E0,4.568461739E-1,1.252455779E0,2.185837250E2,7.503367598E0,4.596383671E0
9.663862741E1,5.216980664E1,4.487858067E0,4.604825471E-1,1.227538555E0,2.185837250E2,7.466431086E0,4.527652775E0
9.763864958E1,5.216979702E1,4.487845583E0,5.452759732E-1,1.213412888E0,2.185837250E2,7.474797198E0,4.577820055E0
9.863867164E1,5.216978386E1,4.487828513E0,5.422098599E-1,1.506463454E0,2.185837250E2,7.414446455E0,4.544292089E0
9.963869381E1,5.216977624E1,4.487818624E0,3.834876502E-1,1.202882131E0,2.185837250E2,7.247095173E0,4.636996700E0
1.006387144E2,5.216976380E1,4.487802481E0,2.692949660E-1,1.439470806E0,2.185837250E2,7.216734777E0,4.502727933E0
1.016387352E2,5.216975430E1,4.487790790E0,2.493242947E-1,1.243663485E0,2.174614258E2,7.111405231E0,4.502629691E0
1.026387553E2,5.216974433E1,4.487778360E0,2.427223437E-1,1.239768808E0,2.174614258E2,7.084503127E0,4.397085670E0
1.036387758E2,5.216973499E1,4.487766728E0,5.670916699E-1,1.190004656E0,2.174614258E2,7.015459808E0,4.313759691E0
1.046387954E2,5.216972530E1,4.487754649E0,6.000266876E-1,1.255499060E0,2.174614258E2,6.977213886E0,4.322936685E0
1.056388150E2,5.216971422E1,4.487740841E0,9.618778024E-1,1.348460627E0,2.174614258E2,6.988232731E0,4.356268928E0
1.066388336E2,5.216970435E1,4.487728547E0,1.160682114E-1,1.384743047E0,2.174614258E2,6.954559073E0,4.243857432E0
1.076388525E2,5.216969789E1,4.487720496E0,2.723948760E-1,1.157035932E0,2.174614258E2,6.932758738E0,4.343678976E0
1.086388711E2,5.216968471E1,4.487704065E0,4.736535884E-1,1.349712939E0,2.174614258E2,6.878632433E0,4.107562391E0
1.096388893E2,5.216967641E1,4.487693723E0,5.749564813E-1,1.297121511E0,2.174614258E2,6.945985301E0,4.260192639E0
1.106389068E2,5.216966515E1,4.487679692E0,5.786948521E-1,1.296878834E0,2.174614258E2,6.960794174E0,4.355470746E0
1.116389247E2,5.216965673E1,4.487669198E0,2.998715295E-1,1.294024475E0,2.174614258E2,6.926398448E0,4.191615082E0
1.126389425E2,5.216964828E1,4.487658666E0,5.840749266E-1,1.200215055E0,2.174614258E2,6.939947109E0,4.087197021E0
1.136389594E2,5.216963897E1,4.487647066E0,2.224565884E-1,1.194917454E0,2.174614258E2,6.962877734E0,4.145277716E0
1.146389763E2,5.216962918E1,4.487634861E0,-1.163023198E-1,1.321787043E0,2.174614258E2,6.975413734E0,4.263209517E0
1.156389940E2,5.216961556E1,4.487617897E0,-2.942841034E-2,1.522978438E0,2.174614258E2,6.910895925E0,4.505336619E0
1.166390107E2,5.216960815E1,4.487608662E0,-1.839149501E-1,1.172283817E0,2.174614258E2,6.855090051E0,4.928708023E0
1.176390278E2,5.216960315E1,4.487601449E0,-3.891598657E-1,1.014599085E0,2.208162994E2,6.781941246E0,4.975298266E0
1.186390439E2,5.216959690E1,4.487592668E0,-3.837605026E-1,8.916510407E-1,2.208162994E2,6.669768289E0,4.829674169E0
1.196390606E2,5.216958400E1,4.487574540E0,4.534604950E-1,1.168586368E0,2.208162994E2,6.533542310E0,4.674967730E0
1.206390771E2,5.216957622E1,4.487563617E0,-8.082022239E-2,1.142481797E0,2.208162994E2,6.538914614E0,4.614831969E0
