"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.749651704399606E9,"2025-06-11 16:21:44.400 UTC+02:00"
"PAUSE",6.140248778749956E2,1.749652318426276E9,"2025-06-11 16:31:58.426 UTC+02:00"
