"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.561860833E-1,1.176648654E0,3.996399406E-1,-3.019132034E0
7.661510833E-1,9.891927677E-1,4.545876878E-1,-3.200256556E0
7.761160833E-1,1.334568354E0,9.728012681E-3,-3.300793582E0
7.860820833E-1,1.787663979E0,-2.737005633E-1,-3.460436602E0
7.960470833E-1,2.083044118E0,-3.116378832E-1,-3.735360988E0
8.060120833E-1,2.241015273E0,-3.960874647E-1,-3.569097165E0
8.159780833E-1,2.058252508E0,-7.247819683E-1,-2.614876594E0
8.259430833E-1,1.790212780E0,-1.322686374E0,-1.484931990E0
8.359090833E-1,1.198974055E0,-1.766197973E0,-5.289075530E-1
8.458740833E-1,7.831465361E-1,-1.881619671E0,3.715320826E-1
8.558390833E-1,5.573944202E-1,-1.925050450E0,1.158870195E0
8.658050833E-1,2.392958205E-1,-1.846653614E0,1.791371698E0
8.757700833E-1,-5.117099416E-2,-1.448926298E0,2.072370172E0
8.857350833E-1,6.259334721E-3,-1.195537207E0,1.938098804E0
8.957010833E-1,2.346648440E-1,-1.131321623E0,1.902253034E0
9.056660833E-1,2.482821321E-1,-8.895601599E-1,2.065511388E0
9.156320833E-1,5.131246023E-2,-5.898367095E-1,2.469751625E0
9.255970833E-1,2.319091974E-1,-6.004197313E-1,3.741967172E0
9.355620833E-1,4.626895899E-1,-7.796301667E-1,5.163035288E0
9.455280833E-1,3.838141590E-2,-3.095632911E-1,5.558903482E0
9.554930833E-1,-2.266094273E-1,2.696591140E-1,5.553080240E0
9.654580833E-1,-3.587089925E-1,2.816961922E-1,5.288755102E0
9.754240833E-1,-6.665787837E-1,1.129799008E-2,4.663003040E0
9.853890833E-1,-1.202134109E0,-3.025412236E-1,4.096446435E0
9.953550833E-1,-1.906616518E0,-5.398817535E-1,3.246682863E0
1.005320083E0,-2.443192694E0,-6.876050788E-1,1.757020476E0
1.015285083E0,-2.080142291E0,-4.652663116E-1,9.884454936E-1
1.025251083E0,-1.386653890E0,5.458682790E-2,1.011998078E0
1.035216083E0,-1.016815599E0,2.742982949E-1,1.437970662E0
1.045181083E0,-1.052628772E0,-7.295161664E-2,1.669484734E0
1.055147083E0,-1.097215545E0,-5.108123209E-1,1.304087550E0
1.065112167E0,-7.760124944E-1,-8.541339268E-1,7.846565795E-1
1.075078167E0,-5.180963436E-1,-1.210587063E0,1.530333281E-1
1.085043167E0,-2.928537029E-1,-1.278588135E0,-4.291417748E-1
1.095008167E0,-5.807922363E-2,-1.147270781E0,-6.684104240E-1
1.104974167E0,-6.696114421E-2,-9.893427488E-1,-5.360838407E-1
1.114939167E0,-2.269924200E-1,-8.251790996E-1,-2.273631334E-1
1.124904167E0,-4.859869435E-1,-7.821530941E-1,-1.851544225E-1
1.134870167E0,-7.198124197E-1,-6.501599483E-1,-2.306469297E-1
1.144835167E0,-7.750640760E-1,-3.095428258E-1,-3.349565792E-1
1.154801167E0,-6.446059705E-1,-1.373447368E-1,-2.061295545E-1
1.164766167E0,-4.170671283E-1,-2.985670904E-1,-1.461014539E-1
1.174731167E0,1.390131667E-2,-6.552359893E-1,-4.275618571E-1
1.184697167E0,2.968733713E-2,-8.134530933E-1,-5.826662689E-1
1.194662167E0,-6.082691798E-1,-5.197260357E-1,-8.411798590E-1
1.204628167E0,-1.216946057E0,-2.978996307E-1,-9.822568005E-1
1.214593167E0,-2.206437032E0,-9.794051500E-2,-7.935958028E-1
1.224558167E0,-3.522315347E0,2.232933069E-1,-6.181869346E-1
1.234524167E0,-4.072196862E0,1.766631142E-1,-8.055931199E-1
1.244489167E0,-3.644132144E0,-3.442683067E-1,-1.308189372E0
1.254454167E0,-1.913075791E0,-1.270488133E0,-1.419236768E0
1.264420167E0,6.484614784E-1,-2.625400997E0,-8.426147658E-1
1.274385167E0,2.794296944E0,-2.714682133E0,6.825045526E-1
1.284351167E0,3.870244266E0,-1.603174092E0,2.181056462E0
1.294316167E0,2.895527158E0,-9.187583774E-2,3.417840221E0
1.304281167E0,1.013046630E0,6.285898621E-1,3.679603693E0
1.314247167E0,-4.946685239E-1,-4.745585606E-2,2.376880299E0
1.324212167E0,-1.608361742E0,-5.055065574E-1,6.936312193E-1
1.334177167E0,-2.003088560E0,-3.048621297E-1,-3.355717063E-1
1.344143167E0,-1.575951503E0,3.540345821E-1,-6.150247604E-1
1.354108167E0,-3.373537184E-1,1.087124567E0,-5.162769824E-1
1.364074167E0,6.826036629E-1,1.546844210E0,-3.766828948E-1
1.374039167E0,1.108272484E0,1.412578982E0,-2.693853182E-1
1.384004167E0,1.317620200E0,7.329443890E-1,9.814434528E-2
1.393970167E0,7.483705133E-1,1.459028240E0,6.085752815E-1
1.403935167E0,1.327694368E0,1.079417937E0,4.748664165E-1
