"Time (s)","X (µT)","Y (µT)","Z (µT)"
8.957010833E-1,-6.242318726E1,-2.519081116E1,-8.920218658E1
9.056660833E-1,-6.356407166E1,-2.368033981E1,-8.877343750E1
9.156320833E-1,-6.417123413E1,-2.201862144E1,-8.851743317E1
9.255970833E-1,-6.446307373E1,-2.036204720E1,-8.867307281E1
9.355620833E-1,-6.467052460E1,-1.911642456E1,-8.903082275E1
9.455280833E-1,-6.456342316E1,-1.820455551E1,-8.915530396E1
9.554930833E-1,-6.459518433E1,-1.797527695E1,-8.946810150E1
9.654580833E-1,-6.498886871E1,-1.831016922E1,-8.922021484E1
9.754240833E-1,-6.623328400E1,-1.976492119E1,-8.827702332E1
9.853890833E-1,-6.741759491E1,-2.107510567E1,-8.732246399E1
9.953550833E-1,-6.884557343E1,-2.270321465E1,-8.604764557E1
1.005320083E0,-7.006069946E1,-2.391264725E1,-8.485755157E1
1.015285083E0,-7.148140717E1,-2.484015274E1,-8.331892395E1
1.025251083E0,-7.257518768E1,-2.516372299E1,-8.249977112E1
1.035216083E0,-7.306539917E1,-2.519163895E1,-8.174955750E1
1.045181083E0,-7.279650879E1,-2.460197830E1,-8.195684814E1
1.055147083E0,-7.259774780E1,-2.383158112E1,-8.242253113E1
1.065112167E0,-7.222850037E1,-2.270117188E1,-8.286723328E1
1.075078167E0,-7.203484344E1,-2.149672699E1,-8.315659332E1
1.085043167E0,-7.159398651E1,-2.081584167E1,-8.305558777E1
1.095008167E0,-7.112216187E1,-1.943588257E1,-8.350907898E1
1.104974167E0,-7.071806335E1,-1.816388321E1,-8.369311523E1
1.114939167E0,-7.046430969E1,-1.705435562E1,-8.424299622E1
1.124904167E0,-6.974793243E1,-1.559625244E1,-8.426235199E1
1.134870167E0,-6.945101929E1,-1.477858353E1,-8.451979065E1
1.144835167E0,-6.920597839E1,-1.400742722E1,-8.427728271E1
1.154801167E0,-6.908726501E1,-1.334499741E1,-8.391134644E1
1.164766167E0,-6.894331360E1,-1.248221588E1,-8.388424683E1
1.174731167E0,-6.868399048E1,-1.159857559E1,-8.374104309E1
1.184697167E0,-6.766287994E1,-9.304315567E0,-8.396093750E1
1.194662167E0,-6.693545532E1,-7.851984024E0,-8.423918152E1
1.204628167E0,-6.563220978E1,-5.889865875E0,-8.492008209E1
1.214593167E0,-6.464440155E1,-3.874919891E0,-8.537627411E1
1.224558167E0,-6.310006714E1,-1.507076263E0,-8.590899658E1
1.234524167E0,-6.153628540E1,1.835084915E0,-8.675959778E1
1.244489167E0,-5.975775146E1,5.017139435E0,-8.706007385E1
1.254454167E0,-5.845384216E1,8.950973511E0,-8.750675201E1
1.264420167E0,-5.762641144E1,1.251040554E1,-8.692300415E1
1.274385167E0,-5.724626160E1,1.588448334E1,-8.656700134E1
1.284351167E0,-5.718979645E1,1.804557037E1,-8.573667145E1
1.294316167E0,-5.719231415E1,1.942322540E1,-8.523114014E1
1.304281167E0,-5.714103699E1,1.997489166E1,-8.450914001E1
1.314247167E0,-5.700752258E1,2.002596283E1,-8.401051331E1
1.324212167E0,-5.700752258E1,2.002596283E1,-8.401051331E1
1.334177167E0,-5.655180359E1,2.050468826E1,-8.358744812E1
1.344143167E0,-5.606429291E1,2.135715866E1,-8.337094116E1
1.354108167E0,-5.494744873E1,2.226433563E1,-8.330979156E1
1.364074167E0,-5.390886688E1,2.369300461E1,-8.338253021E1
1.374039167E0,-5.222107697E1,2.650502968E1,-8.388764954E1
1.384004167E0,-5.088328552E1,2.791383743E1,-8.398837280E1
1.393970167E0,-4.981907654E1,2.932423019E1,-8.371215820E1
1.403935167E0,-4.912234497E1,3.057674026E1,-8.345705414E1
1.413900167E0,-4.851715851E1,3.199873924E1,-8.338566589E1
1.423866167E0,-4.848265839E1,3.263731003E1,-8.270732117E1
1.433831167E0,-4.848490143E1,3.340692520E1,-8.219508362E1
1.443797167E0,-4.813088226E1,3.384069061E1,-8.200190735E1
1.453762167E0,-4.738840485E1,3.402944183E1,-8.226344299E1
1.463727167E0,-4.627637482E1,3.439620590E1,-8.249845886E1
1.473693167E0,-4.538693237E1,3.477088165E1,-8.293476868E1
1.483658167E0,-4.431796265E1,3.493621445E1,-8.288769531E1
1.493623167E0,-4.413847351E1,3.523599625E1,-8.272161865E1
1.503589167E0,-4.315843201E1,3.523434830E1,-8.282288361E1
