"Time (s)","X (hPa)"
6.690744117E1,1.022017136E3
6.797672017E1,1.022017136E3
6.904598817E1,1.022017136E3
7.011521117E1,1.022013779E3
7.118441317E1,1.022011871E3
7.225364817E1,1.022009583E3
7.332296417E1,1.022002029E3
7.439230017E1,1.021991119E3
7.546158317E1,1.021974716E3
7.653087717E1,1.021948929E3
7.760016817E1,1.021917419E3
7.866949117E1,1.021879044E3
7.973884117E1,1.021829834E3
8.080814417E1,1.021779938E3
8.187743417E1,1.021727676E3
8.294669117E1,1.021678314E3
8.401599717E1,1.021633606E3
8.508530617E1,1.021599731E3
8.615461717E1,1.021571121E3
8.722387017E1,1.021557846E3
8.829315017E1,1.021556091E3
8.936243217E1,1.021556091E3
9.043168917E1,1.021570511E3
9.150093517E1,1.021601181E3
9.257019317E1,1.021640930E3
9.363942017E1,1.021691513E3
9.470865017E1,1.021749878E3
9.577786217E1,1.021815491E3
9.684705817E1,1.021884613E3
9.791623617E1,1.021952820E3
9.898549017E1,1.022022705E3
1.000547452E2,1.022086868E3
1.011240202E2,1.022148819E3
1.021932842E2,1.022205200E3
1.032625012E2,1.022251511E3
1.043317132E2,1.022287064E3
1.054009162E2,1.022312317E3
1.064701162E2,1.022331085E3
1.075393352E2,1.022343292E3
1.086085102E2,1.022354584E3
1.096776582E2,1.022360916E3
1.107467562E2,1.022370071E3
1.118159202E2,1.022377853E3
1.128850982E2,1.022378616E3
1.139542452E2,1.022378616E3
1.150234032E2,1.022373199E3
1.160925802E2,1.022348938E3
1.171617282E2,1.022316589E3
1.182308962E2,1.022283707E3
1.193000322E2,1.022250824E3
1.203692062E2,1.022215271E3
1.214384072E2,1.022192307E3
1.225076302E2,1.022177200E3
1.235767922E2,1.022169647E3
1.246459712E2,1.022169647E3
1.257151652E2,1.022180328E3
1.267843822E2,1.022198639E3
1.278535852E2,1.022224274E3
1.289227952E2,1.022252502E3
1.299919772E2,1.022272110E3
1.310611762E2,1.022287903E3
1.321303442E2,1.022299881E3
1.331994562E2,1.022299881E3
1.342685662E2,1.022291336E3
1.353376912E2,1.022286377E3
1.364068492E2,1.022275543E3
1.374760112E2,1.022275543E3
1.385451762E2,1.022278900E3
1.396143452E2,1.022282257E3
1.406834972E2,1.022290421E3
1.417526112E2,1.022301407E3
1.428217902E2,1.022305374E3
1.438909562E2,1.022305832E3
1.449601422E2,1.022306442E3
1.460293212E2,1.022306442E3
1.470984832E2,1.022303925E3
1.481676352E2,1.022297974E3
1.492367992E2,1.022294388E3
1.503059552E2,1.022289352E3
1.513751032E2,1.022285538E3
1.524442802E2,1.022273407E3
1.535134372E2,1.022254486E3
1.545825732E2,1.022233810E3
1.556517012E2,1.022211227E3
1.567208602E2,1.022187042E3
1.577900152E2,1.022168121E3
1.588591782E2,1.022152481E3
1.599283562E2,1.022140579E3
1.609975412E2,1.022130585E3
1.620667382E2,1.022123718E3
1.631359272E2,1.022123108E3
1.642050922E2,1.022123108E3
1.652742842E2,1.022123337E3
1.663434002E2,1.022123337E3
1.674125402E2,1.022124557E3
1.684816592E2,1.022131653E3
1.695508092E2,1.022144089E3
1.706199452E2,1.022156525E3
1.716891372E2,1.022163010E3
1.727583542E2,1.022163010E3
1.738275152E2,1.022149200E3
1.748966702E2,1.022125320E3
1.759658222E2,1.022100754E3
1.770350262E2,1.022082825E3
1.781042162E2,1.022069168E3
1.791733892E2,1.022057419E3
1.802426032E2,1.022048569E3
1.813118302E2,1.022047501E3
1.823810342E2,1.022047501E3
1.834502322E2,1.022065125E3
1.845194152E2,1.022071762E3
1.855886312E2,1.022080078E3
1.866578022E2,1.022110443E3
1.877269412E2,1.022125015E3
1.887961002E2,1.022125015E3
1.898653132E2,1.022066879E3
1.909344162E2,1.021908340E3
1.920034932E2,1.021732101E3
1.930725982E2,1.021546478E3
1.941417672E2,1.021373062E3
1.952108862E2,1.021253586E3
1.962800282E2,1.021251984E3
1.973491722E2,1.021253586E3
1.984182802E2,1.021253662E3
1.994874422E2,1.021253891E3
2.005566512E2,1.021255341E3
2.016258792E2,1.021255341E3
2.026951012E2,1.021255341E3
2.037642682E2,1.021253891E3
2.048333742E2,1.021253586E3
2.059024972E2,1.021252213E3
2.069715992E2,1.021252213E3
2.080407182E2,1.021253204E3
2.091098302E2,1.021253662E3
2.101789362E2,1.021253891E3
2.112480442E2,1.021254120E3
2.123171662E2,1.021257858E3
2.133862412E2,1.021276550E3
2.144553262E2,1.021283264E3
2.155243642E2,1.021288376E3
2.165934072E2,1.021293793E3
2.176624462E2,1.021297150E3
2.187315322E2,1.021310654E3
2.198006342E2,1.021402283E3
2.208697242E2,1.021495972E3
2.219388002E2,1.021589890E3
2.230079082E2,1.021684189E3
2.240770792E2,1.021760941E3
2.251462522E2,1.021764297E3
2.262153792E2,1.021765213E3
2.272845182E2,1.021773987E3
2.283536532E2,1.021786652E3
2.294226982E2,1.021804199E3
2.304917042E2,1.021804199E3
2.315607752E2,1.021804733E3
2.326298902E2,1.021804733E3
2.336989512E2,1.021832504E3
2.347679742E2,1.021873550E3
2.358369692E2,1.021938858E3
2.369059672E2,1.022026825E3
2.379749952E2,1.022102051E3
2.390440762E2,1.022146225E3
2.401131442E2,1.022169647E3
2.411822232E2,1.022179031E3
2.422513252E2,1.022180481E3
2.433204062E2,1.022180481E3
2.443894412E2,1.022179260E3
2.454584982E2,1.022176743E3
2.465275382E2,1.022169952E3
2.475965912E2,1.022163162E3
2.486656502E2,1.022156067E3
2.497347072E2,1.022147522E3
2.508037492E2,1.022142410E3
2.518727862E2,1.022133636E3
2.529418132E2,1.022123718E3
2.540108402E2,1.022115021E3
2.550798412E2,1.022103271E3
2.561488602E2,1.022094421E3
2.572178862E2,1.022087326E3
