"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.689995417E-1,2.626676261E-1,3.991700888E0,2.153911114E0
8.790525416E-1,8.471217155E-1,3.774688244E0,2.602209091E0
8.891055416E-1,1.220381379E0,3.226369143E0,2.724877834E0
8.991585416E-1,1.352580667E0,2.590106249E0,2.616516590E0
9.092115416E-1,1.398828268E0,1.658372283E0,2.461037874E0
9.192645416E-1,1.522222161E0,4.465512335E-1,2.383574009E0
9.293175417E-1,1.691248417E0,4.365594387E-1,2.529145002E0
9.393705417E-1,1.920630455E0,1.080998063E0,2.853274822E0
9.494235417E-1,2.132089615E0,2.940930367E0,3.273452282E0
9.594765417E-1,2.135436535E0,3.773357868E0,3.372530222E0
9.695295417E-1,1.821979761E0,3.841924906E0,3.533615828E0
9.795825417E-1,1.199090004E0,3.247725964E0,3.455667734E0
9.896355416E-1,5.347290635E-1,2.715078354E0,3.274932623E0
9.996885416E-1,-4.247489572E-2,1.945288181E0,3.036615849E0
1.009742542E0,-4.946691692E-1,8.995755315E-1,2.583991289E0
1.019795542E0,-8.062845469E-1,6.782478839E-2,2.021851540E0
1.029848542E0,-1.002978921E0,-5.862368941E-1,1.493715763E0
1.039901542E0,-1.023305178E0,-9.141803980E-1,1.073984027E0
1.049954542E0,-8.694365025E-1,-7.519030571E-1,7.947437763E-1
1.060007542E0,-6.471373439E-1,-2.186911106E-1,6.278613210E-1
1.070060542E0,-4.347153008E-1,3.841877282E-1,5.275193453E-1
1.080113542E0,-2.443477660E-1,7.455187440E-1,4.046390057E-1
1.090166542E0,-4.958355427E-2,8.742269278E-1,2.242299467E-1
1.100219542E0,1.679684669E-1,7.623704672E-1,4.569988325E-2
1.110272542E0,4.640791118E-1,2.664548159E-1,-2.061588690E-2
1.120325542E0,8.065555096E-1,-6.656788290E-2,-7.308735698E-2
1.130378542E0,1.104112744E0,-1.451312751E-1,-2.449822575E-1
1.140431542E0,1.371189952E0,-1.961877942E-1,-4.663255513E-1
1.150484542E0,1.625298500E0,-2.281188369E-1,-7.100332379E-1
1.160538542E0,1.854265094E0,-1.780346334E-1,-9.695827961E-1
1.170591542E0,2.046822786E0,-1.602395177E-1,-1.237917900E0
1.180644542E0,2.212631941E0,-3.124301136E-1,-1.497913241E0
1.190697542E0,1.660315037E0,2.322353572E-1,-1.544665337E0
1.200750542E0,1.077114940E0,2.764398158E-1,-9.782346487E-1
1.210803542E0,6.769150496E-1,-2.774333954E-1,-5.985503197E-1
1.220856542E0,4.407667220E-1,-3.764744699E-1,-6.346595883E-1
1.230909542E0,3.117269874E-1,-2.872886658E-1,-8.710846305E-1
1.240962542E0,2.580927908E-1,-1.403691247E-2,-1.119149327E0
1.251015542E0,2.216570377E-1,3.020783365E-1,-1.219473720E0
1.261068542E0,1.815724671E-1,8.774232119E-2,-1.134571433E0
1.271121542E0,1.347467452E-1,-6.878104210E-1,-9.891367555E-1
1.281174542E0,8.224520087E-2,-1.656018257E0,-8.656798005E-1
1.291227542E0,1.719558798E-2,-2.532754183E0,-8.192599416E-1
1.301280542E0,-1.255856827E-3,-3.140439034E0,-9.018075466E-1
1.311333542E0,5.320418999E-2,-3.396718979E0,-1.074643254E0
1.321387542E0,1.281620562E-1,-3.263944626E0,-1.263166308E0
1.331440542E0,1.938007474E-1,-2.741347075E0,-1.403480649E0
1.341493542E0,1.938300431E-1,-2.130761623E0,-1.499161839E0
1.351546542E0,1.107549071E-1,-1.702127218E0,-1.577295065E0
1.361599542E0,-1.335239317E-2,-1.653103232E0,-1.633798599E0
1.371652542E0,-8.911273628E-2,-1.954821944E0,-1.599954009E0
1.381705542E0,-3.962827846E-2,-2.450310230E0,-1.493893147E0
1.391758542E0,1.300159544E-1,-2.947126865E0,-1.383028865E0
1.401811542E0,3.475983441E-1,-3.319817781E0,-1.280310750E0
1.411864542E0,5.261166692E-1,-3.573936224E0,-1.164876938E0
1.421917542E0,6.370964646E-1,-3.826987267E0,-1.040505409E0
1.431970542E0,7.214706540E-1,-4.144300461E0,-9.912938476E-1
1.442023542E0,8.582977653E-1,-3.992466927E0,-8.256441951E-1
1.452076542E0,9.954758286E-1,-3.194025040E0,-7.705217600E-1
1.462129542E0,1.088093638E0,-2.156165838E0,-9.949724674E-1
1.472183542E0,1.101887226E0,-1.335656047E0,-1.243615985E0
1.482236542E0,1.069279671E0,-8.842033744E-1,-1.346410751E0
1.492289542E0,1.021974921E0,-6.804689169E-1,-1.372116804E0
1.502342542E0,9.433963895E-1,-7.325616479E-1,-1.426609397E0
1.512395542E0,8.258876204E-1,-1.155791879E0,-1.513849258E0
1.522448542E0,7.790431380E-1,-1.760437250E0,-1.583233356E0
1.532501542E0,8.519805074E-1,-2.354906321E0,-1.595772982E0
1.542554542E0,1.015082121E0,-3.194890738E0,-1.412888408E0
1.552607542E0,1.395398974E0,-4.276767254E0,-9.225770831E-1
1.562660542E0,2.110579491E0,-4.647576809E0,-3.765128851E-1
1.572713542E0,2.948854923E0,-3.735514879E0,-3.292157874E-2
1.582766542E0,3.195143938E0,-1.253777981E0,-8.568013459E-2
1.592819542E0,2.979052305E0,1.268320918E0,-1.775378436E-1
1.602872542E0,2.070687294E0,2.388624430E0,9.777256101E-2
1.612925542E0,1.114317309E-2,1.052885056E0,3.897275627E-1
1.622979542E0,-1.396520972E0,2.099195480E0,2.775469720E-1
1.633032542E0,-1.817868233E0,3.615813732E0,3.210761249E-1
1.643085542E0,-1.574721098E0,4.820565701E0,6.883998513E-1
1.653138542E0,-1.082663417E0,5.039165974E0,1.146835327E0
1.663191542E0,-6.995235085E-1,4.229136944E0,1.336898446E0
1.673244542E0,-3.718847036E-1,3.151206493E0,1.218669891E0
1.683297792E0,-4.541098699E-2,2.252685785E0,9.842935801E-1
1.693350792E0,2.906131148E-1,1.644223094E0,6.852381229E-1
1.703403792E0,5.958912969E-1,1.226541877E0,4.207077026E-1
1.713456792E0,8.493313193E-1,9.836062193E-1,3.178103268E-1
1.723509792E0,9.592042565E-1,9.015206695E-1,3.406365514E-1
1.733562792E0,8.605257273E-1,8.852878809E-1,4.312498868E-1
1.743615792E0,5.916810036E-1,8.602483273E-1,5.363246202E-1
1.753668792E0,2.955950499E-1,9.090854526E-1,6.107283831E-1
1.763721792E0,8.357868344E-2,1.109115481E0,6.266679168E-1
1.773775792E0,-3.134424984E-2,1.363291621E0,6.146246791E-1
1.783828792E0,-5.634973571E-2,1.541600108E0,5.902698040E-1
1.793881792E0,1.331947185E-2,1.626228929E0,5.502466559E-1
1.803934792E0,1.757182330E-1,1.661191940E0,5.269612670E-1
1.813987792E0,3.735477328E-1,1.569196463E0,5.292602777E-1
1.824040792E0,5.329515338E-1,1.406505227E0,5.200214982E-1
1.834093792E0,5.738979578E-1,1.163038611E0,4.794344306E-1
1.844146792E0,4.700732827E-1,8.760260344E-1,3.757770061E-1
1.854199792E0,2.389193475E-1,5.746749640E-1,2.482926399E-1
1.864252792E0,-6.307405978E-2,2.213054150E-1,1.442035288E-1
1.874305792E0,-3.015478551E-1,-1.326112002E-1,-5.517646205E-3
1.884358792E0,-2.932741940E-1,-3.750978708E-1,-1.895596534E-1
1.894411792E0,2.174430713E-2,-5.332534313E-1,-3.596359491E-1
1.904464792E0,6.156638861E-1,-5.831440687E-1,-4.728722274E-1
1.914517792E0,1.348228455E0,-4.974730611E-1,-5.067003965E-1
1.924571792E0,1.862521648E0,-4.717874229E-1,-4.516672492E-1
1.934624792E0,1.793540955E0,-7.071461678E-1,-3.933678567E-1
1.944677792E0,1.090249658E0,-1.108849168E0,-3.974563181E-1
1.954730792E0,1.346177906E-1,-1.312763929E0,-4.568850994E-1
1.964783792E0,-6.463409066E-1,-1.283349276E0,-5.816887617E-1
1.974836792E0,-1.078370094E0,-1.180422664E0,-7.096462846E-1
1.984889792E0,-1.186197996E0,-1.120861888E0,-7.526108027E-1
1.994942792E0,-1.147871971E0,-1.199804306E0,-7.312393785E-1
2.004995792E0,-1.155086160E0,-1.427727818E0,-6.648260355E-1
2.015048792E0,-1.178935766E0,-1.568325877E0,-5.300526023E-1
2.025101792E0,-1.089398980E0,-1.437336683E0,-4.062672555E-1
2.035154792E0,-8.456782103E-1,-1.078774691E0,-4.065660834E-1
2.045207792E0,-5.003727674E-1,-6.144714952E-1,-5.335589051E-1
2.055260792E0,-1.920527369E-1,-3.163810670E-1,-6.952105761E-1
2.065313792E0,-5.199097469E-2,-2.534958422E-1,-8.356275558E-1
2.075367792E0,-1.189976260E-1,-4.671864510E-1,-9.282642603E-1
2.085420792E0,-3.714234829E-1,-8.163785338E-1,-9.676116705E-1
2.095473792E0,-7.315067649E-1,-1.162138939E0,-9.212521911E-1
2.105526792E0,-1.040849924E0,-1.304165363E0,-8.037686944E-1
2.115579792E0,-1.194264650E0,-1.144667864E0,-6.584393382E-1
2.125632792E0,-1.172061086E0,-7.948219776E-1,-5.161181688E-1
2.135685792E0,-9.532599449E-1,-3.367823362E-1,-4.191530347E-1
2.145738792E0,-5.470229387E-1,1.107730642E-1,-3.161414266E-1
2.155791792E0,-4.638429731E-2,3.534467816E-1,-1.917395294E-1
2.165844792E0,5.393034220E-1,4.626968503E-1,-2.546000294E-2
2.175897792E0,1.162678838E0,5.415419340E-1,1.441171467E-1
2.185950792E0,1.698117971E0,5.968837142E-1,2.436416149E-1
2.196003792E0,2.024187803E0,5.760118961E-1,2.505833209E-1
2.206056792E0,2.116966486E0,4.849216640E-1,1.509616673E-1
2.216110792E0,1.980940104E0,3.510380089E-1,-1.007015351E-3
2.226163792E0,1.680714488E0,1.669754833E-1,-1.247497350E-1
2.236216792E0,1.395019889E0,3.194243880E-3,-1.104830205E-1
2.246269792E0,1.323545456E0,-5.163677782E-2,-1.736852154E-2
2.256322792E0,1.598897338E0,9.724581987E-2,1.233897507E-1
2.266375792E0,2.191016436E0,5.226450562E-1,4.149190784E-1
2.276428792E0,2.840883970E0,1.058861613E0,8.141044974E-1
2.286481792E0,3.167464972E0,1.367195964E0,1.087990880E0
2.296534792E0,2.924839497E0,1.347421408E0,9.986233115E-1
2.306587792E0,2.034532785E0,8.633673191E-1,5.817081332E-1
2.316640792E0,8.038871288E-1,3.689073026E-1,1.830100715E-1
2.326693792E0,-7.897127420E-2,4.512847364E-1,7.440555841E-2
2.336746792E0,-2.704577148E-1,9.688988328E-1,2.218522280E-1
2.346799792E0,3.072395548E-2,1.552607059E0,5.053225160E-1
2.356852792E0,3.613027930E-1,1.888036370E0,7.838451862E-1
2.366906792E0,4.291236401E-1,1.861608744E0,1.020052671E0
2.376959792E0,2.466654480E-1,1.612365127E0,1.128394246E0
2.387012792E0,6.650076248E-4,1.413105011E0,1.081356168E0
2.397065792E0,-1.654987186E-1,1.377922416E0,9.843723774E-1
2.407118792E0,-2.717745602E-1,1.385592818E0,8.995480537E-1
2.417171792E0,-3.678366840E-1,1.261430264E0,8.227381706E-1
2.427224792E0,-4.481525719E-1,1.018063188E0,7.650847435E-1
2.437277792E0,-5.043227077E-1,8.058713675E-1,7.321889400E-1
2.447330792E0,-5.626544952E-1,7.080971599E-1,7.163617611E-1
2.457383792E0,-6.261264086E-1,6.895048022E-1,6.962004900E-1
2.467436792E0,-6.726294756E-1,7.500850558E-1,6.542024612E-1
2.477489792E0,-6.982299089E-1,8.406631947E-1,6.071337461E-1
2.487542792E0,-6.906749010E-1,9.369601607E-1,5.514252186E-1
2.497596792E0,-6.184970140E-1,9.961870909E-1,4.806504250E-1
2.507649792E0,-4.826409221E-1,9.748573303E-1,3.943363130E-1
2.517702792E0,-2.923760116E-1,8.281095624E-1,3.566692173E-1
2.527755792E0,-6.159977242E-2,5.709041357E-1,3.549488187E-1
2.537808792E0,1.723307669E-1,2.373340577E-1,2.997002006E-1
2.547861792E0,3.386260271E-1,-1.459933519E-1,1.623847038E-1
2.557914792E0,4.009986520E-1,-5.190631747E-1,-6.902370369E-4
2.567967792E0,3.757846355E-1,-9.202705026E-1,-1.468288153E-1
2.578020792E0,2.924101651E-1,-1.350500584E0,-2.919598818E-1
2.588073792E0,2.055391669E-1,-1.738632798E0,-4.431512654E-1
2.598126792E0,1.572357416E-1,-1.903871536E0,-6.048123240E-1
2.608179792E0,2.121101767E-1,-1.703033805E0,-7.760842443E-1
2.618232792E0,4.241997302E-1,-1.040771723E0,-8.812959194E-1
2.628285792E0,6.547991633E-1,-2.071974576E-1,-8.485051990E-1
2.638339792E0,4.926066995E-1,2.793790698E-1,-7.551568747E-1
2.648392792E0,-5.369923636E-2,5.205515027E-1,-6.174054146E-1
2.658445792E0,-6.120427251E-1,6.628121138E-1,-4.244500995E-1
2.668498792E0,-9.131024480E-1,5.909914374E-1,-3.122687042E-1
2.678551792E0,-9.148980379E-1,3.311417997E-1,-3.310372829E-1
2.688604292E0,-7.918469310E-1,-2.729922831E-1,-4.292645156E-1
2.698657292E0,-7.931981087E-1,-1.185822845E0,-5.254204869E-1
2.708710292E0,-8.965144157E-1,-1.853583336E0,-5.076768994E-1
2.718763292E0,-9.384366870E-1,-2.020597935E0,-4.567061961E-1
