"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.885745416E-1,-4.440645415E0,-1.082360840E0,-2.991732566E0
7.986275416E-1,-4.576978219E0,-1.869420625E0,-3.238352335E0
8.086805416E-1,-4.388234775E0,-2.353663344E0,-3.448459750E0
8.187335416E-1,-4.531784796E0,-3.223357735E0,-3.484062277E0
8.287865416E-1,-4.797165649E0,-3.996883847E0,-2.990017578E0
8.388395417E-1,-5.593640621E0,-3.617397505E0,-1.756273786E0
8.488925417E-1,-6.660031253E0,-2.597360090E0,-1.703288072E-1
8.589465417E-1,-7.673319812E0,-1.548546773E0,1.513289816E0
8.689995417E-1,-8.475212229E0,-5.845236370E-1,3.159568121E0
8.790525416E-1,-8.518714929E0,3.012646303E-1,4.266064221E0
8.891055416E-1,-6.573503571E0,4.792860344E-1,3.348640763E0
8.991585416E-1,-3.339446308E0,9.988213778E-3,1.306671435E0
9.092115416E-1,-1.367012069E0,-6.726315290E-2,5.590441024E-1
9.192645416E-1,-1.603765246E0,4.209606430E-1,2.053507639E0
9.293175417E-1,-3.335057096E0,7.582461682E-1,4.787543471E0
9.393705417E-1,-4.578478614E0,8.900280833E-2,8.179145481E0
9.494235417E-1,-5.767490621E0,-8.567109409E-1,8.136590615E0
9.594765417E-1,-5.804793518E0,3.581823045E-1,9.550690019E0
9.695295417E-1,-4.732714422E0,1.336261854E0,4.714204769E0
9.795825417E-1,-5.734618160E0,2.949532919E0,3.767856304E0
9.896355416E-1,-3.064778031E0,3.055748760E0,1.209784825E0
9.996885416E-1,-6.246384600E-1,2.581608276E0,-7.189063936E-1
1.009742542E0,1.783450768E0,2.234769862E0,-2.029985459E0
1.019795542E0,3.206682061E0,1.974604726E0,-2.154204878E0
1.029848542E0,4.189555158E0,1.470870021E0,-1.590512824E0
1.039901542E0,5.240066507E0,1.246766710E-1,-4.237237448E-1
1.049954542E0,5.861689265E0,-1.227657132E0,1.071710429E0
1.060007542E0,6.254269570E0,-2.678965293E0,2.113535739E0
1.070060542E0,6.483374589E0,-3.961069944E0,2.402553669E0
1.080113542E0,6.902425824E0,-4.658346902E0,2.032813173E0
1.090166542E0,7.342922891E0,-5.201266723E0,1.157664499E0
1.100219542E0,7.547933289E0,-5.640493190E0,2.584960485E-1
1.110272542E0,7.562743117E0,-6.069152570E0,-9.940658373E-1
1.120325542E0,7.321035594E0,-6.309981841E0,-2.227184561E0
1.130378542E0,7.071273531E0,-6.309767833E0,-2.464034218E0
1.140431542E0,7.198825278E0,-6.444736773E0,-2.826711861E0
1.150484542E0,7.281580337E0,-6.155225923E0,-2.979019550E0
1.160538542E0,7.181861336E0,-5.926509744E0,-2.986397567E0
1.170591542E0,6.954305829E0,-5.873415856E0,-2.981459593E0
1.180644542E0,6.875205866E0,-5.822581333E0,-2.783821950E0
1.190697542E0,6.913031504E0,-5.495762908E0,-2.372193171E0
1.200750542E0,6.015153533E0,-5.668663321E0,-1.482938089E0
1.210803542E0,4.050420662E0,-4.723527569E0,-1.163170822E0
1.220856542E0,3.491834688E0,-1.340212233E0,-1.203940533E0
1.230909542E0,4.259917628E0,4.900656688E-1,-5.724143457E-1
1.240962542E0,4.689952565E0,1.293530402E0,-1.090909177E-1
1.251015542E0,3.669632437E0,2.067470790E0,1.189796703E0
1.261068542E0,1.736469413E0,2.858273377E0,3.241815641E0
1.271121542E0,-4.586051635E-1,2.952167382E0,4.439941118E0
1.281174542E0,-2.126859789E0,3.233862258E0,5.019038832E0
1.291227542E0,-2.428294428E0,4.107391253E0,5.913769246E0
1.301280542E0,-1.668073508E0,5.201616386E0,7.626274284E0
1.311333542E0,-1.938642157E-1,5.624803357E0,9.071410709E0
1.321387542E0,1.465633255E0,5.379512660E0,9.843036768E0
1.331440542E0,2.807435346E0,4.780440858E0,1.000505142E1
1.341493542E0,3.173878596E0,4.038689393E0,8.819873432E0
1.351546542E0,2.441480484E0,3.264615689E0,6.620118159E0
1.361599542E0,1.182200293E0,2.503464916E0,4.055010726E0
1.371652542E0,-2.352153959E-1,1.779372627E0,1.610679286E0
1.381705542E0,-1.379804900E0,1.061889446E0,-6.196469843E-2
1.391758542E0,-1.855188941E0,5.660818112E-1,-9.935261393E-1
1.401811542E0,-1.960641721E0,1.206999797E-1,-1.766999334E0
1.411864542E0,-2.263289656E0,-4.750979662E-1,-2.671579383E0
1.421917542E0,-2.773034422E0,-1.329180291E0,-3.605657465E0
1.431970542E0,-3.064155010E0,-2.296897405E0,-4.417601831E0
1.442023542E0,-4.483900486E0,-2.072828009E0,-4.465763007E0
1.452076542E0,-6.377611322E0,-1.313660027E0,-4.197541285E0
1.462129542E0,-5.583770521E0,-2.025962575E0,-3.806308764E0
1.472183542E0,-4.658356842E0,-2.523600973E0,-3.969671198E0
1.482236542E0,-5.310589190E0,-2.075948668E0,-4.915429094E0
1.492289542E0,-6.269461806E0,-1.814550061E0,-5.773220308E0
1.502342542E0,-6.776034749E0,-1.884630695E0,-6.250228559E0
1.512395542E0,-7.193040628E0,-1.885822358E0,-6.323080773E0
1.522448542E0,-7.893097352E0,-1.798346842E0,-5.954710865E0
1.532501542E0,-8.407466388E0,-1.860863518E0,-5.302917058E0
1.542554542E0,-9.399367002E0,-2.068944873E0,-4.431718179E0
1.552607542E0,-1.082061989E1,-2.012260795E0,-2.235037957E0
1.562660542E0,-1.105297304E1,-1.588975006E0,7.122838372E-1
1.572713542E0,-1.035835071E1,8.089850897E-1,3.439912291E0
1.582766542E0,-8.331296464E0,3.603316825E0,5.168872563E0
1.592819542E0,-4.937331010E0,4.737390733E0,5.013904976E0
1.602872542E0,-9.222439027E-1,4.262972798E0,4.890238119E0
1.612925542E0,8.736298594E-1,3.710922550E0,4.994348963E0
1.622979542E0,-4.503583968E-2,4.079854960E0,5.771579579E0
1.633032542E0,-7.750149594E-1,4.640915768E0,8.863564997E0
1.643085542E0,-2.000160274E0,3.980349383E0,1.189987790E1
1.653138542E0,-4.625964437E0,4.321520383E0,1.123223230E1
1.663191542E0,-5.154427602E0,5.272054285E0,9.156353796E0
1.673244542E0,-3.712550415E0,5.781978267E0,7.399364895E0
1.683297792E0,-2.203206153E0,6.126914290E0,6.579026266E0
1.693350792E0,-7.882764445E-1,5.848951106E0,6.103833575E0
1.703403792E0,-1.409545885E-1,5.191976082E0,5.262425090E0
1.713456792E0,-3.164903413E-1,3.930477896E0,3.917446792E0
1.723509792E0,-3.212839618E-1,2.247015393E0,2.146415802E0
1.733562792E0,-2.963675871E-2,5.482863951E-1,1.412921190E-2
1.743615792E0,5.309814873E-1,-8.164092994E-1,-1.842930107E0
1.753668792E0,1.621561685E0,-2.213323152E0,-2.930811011E0
1.763721792E0,3.046927943E0,-3.600850469E0,-3.154041917E0
1.773775792E0,4.319213072E0,-4.918189564E0,-2.966232274E0
1.783828792E0,5.156249009E0,-6.239417058E0,-2.973243670E0
1.793881792E0,5.615129723E0,-7.284561247E0,-2.981364868E0
1.803934792E0,5.687659171E0,-7.954073287E0,-3.013028710E0
1.813987792E0,5.377339835E0,-8.398393849E0,-3.439873699E0
1.824040792E0,5.250383334E0,-8.621429458E0,-4.180893677E0
1.834093792E0,5.309395189E0,-8.502025221E0,-5.021239139E0
1.844146792E0,5.611901475E0,-8.135384334E0,-5.753079574E0
1.854199792E0,5.930260733E0,-7.581710315E0,-6.062313666E0
1.864252792E0,5.879541399E0,-6.874172662E0,-5.858903652E0
1.874305792E0,5.895906587E0,-5.959474007E0,-4.781408572E0
1.884358792E0,6.132384360E0,-4.886298850E0,-2.523222073E0
1.894411792E0,6.194115754E0,-3.822607877E0,2.955007374E-1
1.904464792E0,5.690008582E0,-2.770681502E0,2.751931821E0
1.914517792E0,4.452102450E0,-1.256823921E0,4.175983770E0
1.924571792E0,2.772497940E0,5.930023921E-1,3.675544556E0
1.934624792E0,1.853011876E0,1.736830040E0,1.094029836E0
1.944677792E0,1.749366471E0,2.807734723E0,-1.786981609E0
1.954730792E0,1.589298065E0,4.699035922E0,-3.040372045E0
1.964783792E0,1.628084108E0,6.561619690E0,-1.929653086E0
1.974836792E0,2.067163665E0,6.815581223E0,3.967049307E-1
1.984889792E0,1.830549797E0,6.301025076E0,2.636505445E0
1.994942792E0,1.454840756E0,5.800089433E0,3.882693281E0
2.004995792E0,1.396494900E0,5.098690188E0,4.123321992E0
2.015048792E0,1.430974469E0,4.772862282E0,4.341090429E0
2.025101792E0,1.773891447E0,4.894002557E0,5.058602847E0
2.035154792E0,2.538422787E0,4.718695430E0,5.661265424E0
2.045207792E0,3.228268227E0,4.266810325E0,5.562334628E0
2.055260792E0,2.902291217E0,3.678103883E0,4.272814246E0
2.065313792E0,1.743884998E0,2.763473055E0,1.888477578E0
2.075367792E0,5.486534540E-1,1.556858005E0,-8.306086779E-1
2.085420792E0,-4.725530387E-1,1.616585559E-1,-2.941920136E0
2.095473792E0,-1.467224574E0,-1.292498953E0,-3.893612956E0
2.105526792E0,-2.261164924E0,-2.530812929E0,-3.496219223E0
2.115579792E0,-2.707076660E0,-3.504737447E0,-2.035868343E0
2.125632792E0,-2.828000295E0,-4.245088504E0,-3.741808712E-1
2.135685792E0,-2.785195753E0,-4.931510106E0,1.063637763E0
2.145738792E0,-2.894370286E0,-5.579253547E0,2.063280675E0
2.155791792E0,-3.254463168E0,-6.285583164E0,2.281384742E0
2.165844792E0,-3.600886137E0,-6.764086549E0,2.080414771E0
2.175897792E0,-3.801976854E0,-6.741632656E0,1.605129694E0
2.185950792E0,-3.571508557E0,-6.315352508E0,5.539067388E-1
2.196003792E0,-3.399439910E0,-5.346158972E0,-9.504976487E-1
2.206056792E0,-3.472954906E0,-4.009556226E0,-2.542658218E0
2.216110792E0,-3.497677519E0,-3.010595684E0,-3.866155601E0
2.226163792E0,-3.841749030E0,-2.406011127E0,-4.506270179E0
2.236216792E0,-4.689301477E0,-1.965865477E0,-3.900579913E0
2.246269792E0,-5.159474918E0,-1.866833525E0,-1.807870787E0
2.256322792E0,-5.306607821E0,-1.509566894E0,1.409717501E0
2.266375792E0,-5.566727641E0,-7.846121407E-1,4.330522757E0
2.276428792E0,-5.846809856E0,5.640925884E-2,5.442704104E0
2.286481792E0,-4.937544433E0,9.122182667E-1,3.753689085E0
2.296534792E0,-2.536049695E0,1.799172469E0,2.926391101E-1
2.306587792E0,-2.317322461E-1,3.113085680E0,-2.865488257E0
2.316640792E0,-3.076889661E-1,4.811364443E0,-4.290608785E0
2.326693792E0,-1.862534506E0,5.838666438E0,-2.560581396E0
2.336746792E0,-3.114209515E0,5.558491838E0,1.712598009E0
2.346799792E0,-4.158095968E0,5.313687045E0,4.988367847E0
