"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
4.230039918E1,5.238879301E1,4.891563784E0,3.452479030E0,2.717605721E0,3.461260900E2,5.162367504E0,4.010038500E0
4.330037701E1,5.238881535E1,4.891550440E0,3.156420044E0,2.515715237E0,3.423752338E2,5.092139739E0,4.042581935E0
4.430035472E1,5.238883568E1,4.891536703E0,3.166763866E0,2.442497125E0,3.390285500E2,5.134740186E0,4.013305444E0
4.530033350E1,5.238886253E1,4.891526854E0,3.002710576E0,2.733930144E0,3.437610363E2,5.117775096E0,3.980862094E0
4.630031061E1,5.238888780E1,4.891523874E0,3.042417342E0,2.802786962E0,3.498244461E2,5.138040841E0,3.941397747E0
4.730028963E1,5.238891184E1,4.891505252E0,2.842728491E0,2.872229253E0,3.447027763E2,5.107186578E0,3.919876475E0
4.830026698E1,5.238892781E1,4.891492057E0,2.308653755E0,2.394104713E0,3.441133868E2,5.112037320E0,3.934515972E0
4.930024540E1,5.238895460E1,4.891473370E0,2.559659544E0,2.655660509E0,3.433829061E2,5.038880874E0,4.084452167E0
5.030022335E1,5.238897195E1,4.891460711E0,2.430226342E0,2.411566630E0,3.442420410E2,4.995517795E0,4.134678639E0
5.130020094E1,5.238899318E1,4.891445586E0,2.075823207E0,2.464858285E0,3.412589575E2,5.094846049E0,4.106713357E0
5.230017912E1,5.238901139E1,4.891433145E0,1.708018378E0,2.181130154E0,3.387811622E2,5.067978956E0,4.411619922E0
5.330015659E1,5.238903325E1,4.891425875E0,1.921740928E0,2.069974397E0,3.425447527E2,5.167802855E0,4.622706147E0
5.430013525E1,5.238905758E1,4.891421890E0,1.922914374E0,2.169104021E0,3.489536158E2,5.161409738E0,4.623263131E0
5.530011249E1,5.238908081E1,4.891411406E0,1.756299275E0,2.143363686E0,3.491825976E2,5.195762897E0,4.538810690E0
5.630009031E1,5.238910457E1,4.891389830E0,1.844539457E0,2.244766833E0,3.400764620E2,5.227514246E0,4.379484742E0
5.730006862E1,5.238912836E1,4.891386682E0,1.631204722E0,2.212029471E0,3.467414531E2,5.205501999E0,4.497605467E0
5.830004656E1,5.238914867E1,4.891376699E0,1.119542671E0,2.120461929E0,3.469717390E2,5.126409462E0,4.515686348E0
5.930002451E1,5.238917393E1,4.891366882E0,1.448666447E0,2.138696160E0,3.494408270E2,5.181796012E0,4.398421422E0
6.030000246E1,5.238919711E1,4.891372947E0,2.073786517E0,2.145134220E0,3.586452926E2,5.223771016E0,3.947666779E0
6.129998052E1,5.238922145E1,4.891359391E0,2.861055659E0,2.136261054E0,3.569298707E2,5.261843844E0,3.701023181E0
6.229995811E1,5.238924703E1,4.891334630E0,2.657278930E0,2.200627747E0,3.502808525E2,5.246120843E0,3.753278049E0
6.329993534E1,5.238927082E1,4.891322835E0,2.964568714E0,2.163021626E0,3.503407123E2,5.260753832E0,3.791323012E0
6.429991376E1,5.238929056E1,4.891331890E0,2.344593246E0,1.951455554E0,2.197937633E0,5.297044680E0,3.755016564E0
6.529989088E1,5.238930803E1,4.891338645E0,2.165914234E0,1.925797724E0,1.010860016E1,5.272345736E0,3.785215603E0
6.629986989E1,5.238932915E1,4.891367764E0,2.338131735E0,2.001288655E0,2.743125631E1,5.392381423E0,4.105534409E0
6.729984760E1,5.238934518E1,4.891385526E0,3.618506103E0,1.920837719E0,3.315582489E1,5.405676531E0,4.350549368E0
