"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.174765417E-1,-3.248245239E0,-1.698966980E-1,5.749843140E0
8.275295417E-1,-3.457659760E0,-1.005010071E0,6.256090393E0
8.375825416E-1,-4.320615234E0,-7.098239136E-1,7.526049500E0
8.476355416E-1,-5.561684418E0,2.254312134E-1,9.160350952E0
8.576895416E-1,-6.835685120E0,1.212927704E0,1.088925568E1
8.677425417E-1,-7.948022003E0,2.161505127E0,1.256262589E1
8.777955417E-1,-8.295299835E0,3.091521149E0,1.366822678E1
8.878485417E-1,-6.604715424E0,3.366349640E0,1.272414001E1
8.979015417E-1,-3.565735016E0,3.022664337E0,1.063987427E1
9.079545417E-1,-1.715732117E0,3.081641693E0,9.843380585E0
9.180075417E-1,-1.973196716E0,3.713777161E0,1.128697861E1
9.280605416E-1,-3.648961945E0,4.208648071E0,1.396535889E1
9.381135416E-1,-4.867128754E0,3.712879028E0,1.729069382E1
9.481665416E-1,-6.107599182E0,2.962639160E0,1.716615280E1
9.582195416E-1,-6.329587555E0,4.386328583E0,1.848012039E1
9.682725416E-1,-5.459147644E0,5.564827881E0,1.353620132E1
9.783255417E-1,-6.621779938E0,7.341183929E0,1.249496658E1
9.883785417E-1,-4.059707794E0,7.554490356E0,9.870474243E0
9.984315417E-1,-1.681453400E0,7.134164429E0,7.906258850E0
1.008485542E0,7.331753540E-1,6.793173523E0,6.592890015E0
1.018538542E0,2.220632172E0,6.499633942E0,6.493796082E0
1.028591542E0,3.306474152E0,5.932912445E0,7.101232910E0
1.038644542E0,4.481829987E0,4.507426758E0,8.319998474E0
1.048697542E0,5.220094757E0,3.077600098E0,9.863139496E0
1.058750542E0,5.686973877E0,1.563348999E0,1.094059891E1
1.068803542E0,5.932613068E0,2.366578674E-1,1.125195145E1
1.078856542E0,6.319408722E0,-4.881349182E-1,1.089314758E1
1.088909542E0,6.699767761E0,-1.042282562E0,1.001911514E1
1.098962542E0,6.835984497E0,-1.475481720E0,9.111851807E0
1.109015542E0,6.803202667E0,-1.876647491E0,7.842341766E0
1.119068542E0,6.553222504E0,-2.061363373E0,6.581663361E0
1.129121542E0,6.306834869E0,-1.977537689E0,6.304290161E0
1.139174542E0,6.433321838E0,-2.006427612E0,5.888305206E0
1.149227542E0,6.508615265E0,-1.590442657E0,5.669759674E0
1.159281542E0,6.387517090E0,-1.217568054E0,5.582790527E0
1.169334542E0,6.120771790E0,-1.006207581E0,5.495072937E0
1.179387542E0,5.992189178E0,-7.866142273E-1,5.588478699E0
1.189440542E0,5.946534119E0,-3.125500488E-1,5.900429993E0
1.199493542E0,4.955145721E0,-3.851490784E-1,6.714437256E0
1.209546542E0,2.951711884E0,6.228547668E-1,6.988217926E0
1.219599542E0,2.389331360E0,4.044589233E0,6.921606445E0
1.229652542E0,3.144960022E0,5.896837463E0,7.536827087E0
1.239705542E0,3.533851318E0,6.711892548E0,7.986641693E0
1.249758542E0,2.436483307E0,7.491022339E0,9.270671539E0
1.259811542E0,4.194277954E-1,8.283175049E0,1.130853378E1
1.269864542E0,-1.810934143E0,8.375532990E0,1.250185226E1
1.279917542E0,-3.434757385E0,8.653804321E0,1.309057800E1
1.289970542E0,-3.610342255E0,9.520801392E0,1.400906799E1
1.300023542E0,-2.663261719E0,1.060604462E1,1.575264221E1
1.310076542E0,-9.732760620E-1,1.102232895E1,1.722587860E1
1.320130542E0,8.984317017E-1,1.077654007E1,1.801533691E1
1.330183542E0,2.415826263E0,1.018452118E1,1.818298828E1
1.340236542E0,2.903362427E0,9.454339600E0,1.699505859E1
1.350289542E0,2.242935791E0,8.689579926E0,1.479119156E1
