"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.749650131363623E9,"2025-06-11 15:55:31.364 UTC+02:00"
"PAUSE",4.667397722500027E2,1.749650598142673E9,"2025-06-11 16:03:18.143 UTC+02:00"
"START",4.667397722500027E2,1.749650598860712E9,"2025-06-11 16:03:18.861 UTC+02:00"
"PAUSE",6.140080110833369E2,1.749650746129190E9,"2025-06-11 16:05:46.129 UTC+02:00"
