"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.748863477251233E9,"2025-06-02 13:24:37.251 UTC+02:00"
"PAUSE",8.875003757083323E2,1.748864364744714E9,"2025-06-02 13:39:24.745 UTC+02:00"
