"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.372315309E2,5.233403717E1,4.861833437E0,-2.773711458E-2,5.269098704E0,3.596528931E2,4.124574265E0,3.000000000E0
1.382315313E2,5.233408472E1,4.861835197E0,-1.334746564E-1,5.456731476E0,3.708121479E-1,4.126592249E0,3.000000000E0
1.392315309E2,5.233412631E1,4.861836266E0,2.652921826E-1,5.102204528E0,3.708121479E-1,4.332597748E0,3.000000000E0
1.402315313E2,5.233415652E1,4.861828318E0,-4.634372890E-3,4.399740719E0,3.708121479E-1,4.961783387E0,3.402460296E0
1.412315313E2,5.233419104E1,4.861826301E0,3.734691767E-1,4.009205923E0,3.708121479E-1,5.904703673E0,3.962180331E0
1.422315309E2,5.233421781E1,4.861828950E0,7.940434916E-1,3.314623461E0,3.708121479E-1,6.369901447E0,4.064726118E0
1.432315295E2,5.233424108E1,4.861829292E0,8.185563404E-1,2.683482161E0,3.708121479E-1,6.719473157E0,4.214630123E0
1.442315282E2,5.233426062E1,4.861833755E0,5.923380200E-1,2.115885766E0,3.708121479E-1,6.728836408E0,4.213149898E0
1.452315270E2,5.233427374E1,4.861831976E0,6.259443872E-1,1.456063952E0,3.708121479E-1,6.917853044E0,4.178877928E0
1.462315258E2,5.233428176E1,4.861836045E0,8.279764913E-1,9.395924925E-1,3.708121479E-1,6.835969319E0,3.925094572E0
1.472315227E2,5.233428223E1,4.861838535E0,8.232472194E-1,5.561813354E-1,3.708121479E-1,6.795216468E0,4.206203402E0
1.482315217E2,5.233428180E1,4.861832845E0,5.165192736E-1,2.928262914E-1,3.708121479E-1,6.745974609E0,4.335131089E0
1.492315185E2,5.233428937E1,4.861835528E0,5.326145170E-1,3.362738137E-1,3.708121479E-1,6.705151184E0,4.260441355E0
1.502315156E2,5.233429277E1,4.861833794E0,3.428116348E-1,2.728193454E-1,3.708121479E-1,6.662846903E0,4.228134576E0
1.512315130E2,5.233430085E1,4.861830754E0,4.143256051E-1,7.148542794E-1,3.708121479E-1,6.433924441E0,3.996163938E0
1.522315112E2,5.233432082E1,4.861829219E0,6.101444568E-1,1.701493500E0,3.708121479E-1,6.319256753E0,3.995302758E0
1.532315075E2,5.233435157E1,4.861827631E0,1.260064635E-2,2.887320831E0,3.708121479E-1,6.168434745E0,3.912919280E0
