Time (s),Latitude (°),Longitude (°),Altitude (m),Altitude WGS84 (m),Speed (m/s),Direction (°),Distance (km),Horizontal Accuracy (m),Vertical Accuracy (m),Satellites
0.077314019203186,52.3510189014307,4.8693217278875,1.20581756591797,43.9086759012886,NaN,NaN,0.00234285910953291,139.028958514402,30.0236166722803,-1
0.0785990953445435,52.3510220292687,4.86928761586992,1.20581756591797,43.9086911345191,NaN,NaN,0.213641208407964,139.028958514402,30.0236166722803,-1
1.02145099639893,52.3528878875995,4.86987682449353,1.2048600769043,43.9047683806185,NaN,NaN,0.239480672282736,38.66166801906,30.0237599183808,-1
1.84688031673431,52.3529517185431,4.87024264410592,15.3999900817871,58.0995978334453,1.08000004291534,31.2890625,0.24139104954478,6.849483483296,12,-1
2.84685599803925,52.3529664706926,4.87025706097937,16.2422142028809,58.9417928862598,1.08000004291534,350.15625,0.2431189642483,5.05565406244637,8,-1
3.84683167934418,52.3529814323898,4.87025018781877,18.4477195739746,61.1472811572764,1.12000000476837,351.2109375,0.245647445211285,4.14570473915338,8,-1
4.84680998325348,52.3530028900619,4.87023786642111,17.0817527770996,59.7812912553421,2.55999994277954,336.796875,0.249614241029849,4.34768785814323,8,-1
5.8467823266983,52.3530353280272,4.87021355890191,15.0906639099121,57.7901707323911,3.82999992370605,333.6328125,0.254276978931193,3.97052655810865,6,-1
6.8526782989502,52.3530725017678,4.87018179148889,15.0029563903809,57.7024291888249,3.82999992370605,333.28125,0.259017776702143,3.60615931269616,6,-1
7.8526828289032,52.3531083763133,4.87014407292462,14.5995750427246,57.2990190743124,4.19000005722046,328.7109375,0.263492819449374,3.53553390593274,6,-1
8.85265028476715,52.3531384673457,4.87010031939006,12.9203758239746,55.6198027059486,3.98000001907349,324.84375,0.268521535542891,3.53553390593274,4,-1
9.85265564918518,52.3531693127494,4.87004617229558,12.2931175231934,54.9925321814937,4.69999980926514,321.6796875,0.275765984399259,3.53553390593274,4,-1
10.8526663780212,52.3531995714198,4.86995170824683,6.24007797241211,48.9395044582255,4.36999988555908,324.4921875,0.282097906305081,3.88344351353841,3,-1
11.8526338338852,52.353246216711,4.8698982317046,6.18453598022461,48.8839276199992,4.51999998092651,330.1171875,0.286089700346732,22.1036883815633,3,-1
12.8526355028152,52.353279283319,4.86987534910894,7.18539047241211,49.8847487542372,4.36999988555908,333.6328125,0.290454569455221,21.7677665074642,3,-1
13.8526380062103,52.3533144711502,4.86984686383083,7.18539203703404,49.8847172032746,4.36999988555806,333.632789945584,0.296165484413877,21.7677665074617,3.00000000001783,-1
14.8526011705399,52.3533644414537,4.86986628864597,6.62228186242282,49.3215255076509,4.61999988555787,353.320306255135,0.303196155704407,21.8117041501082,3.00000000002003,-1
15.8526003360748,52.3534009427699,4.86978176159496,6.2893961397931,48.9886371066537,4.6500000953662,332.929662908086,0.307267117163014,22.0740653873377,3.00000000002078,-1
16.8526068925858,52.3534338952149,4.86975564261953,6.0939615489915,48.7931711845671,4.61999988555787,332.929663066592,0.311270360569257,23.3876391301074,3.00000000002312,-1
17.8525706529617,52.3534655829504,4.86972766405491,6.1528603695333,48.8520415254809,4.46999979019055,337.148417327548,0.314808156731215,23.4003691660698,3.00000000002168,-1
18.8525713682175,52.3534935515799,4.86970283295879,6.07162238657475,48.7707784842989,4.19000005721956,336.445293041221,0.320379124342442,22.8793562039088,3.00000000001818,-1
19.8525696992874,52.3535354672841,4.86965790077303,6.0979287577793,48.7970517489156,4.51000022888071,335.039040382407,0.325011338147727,23.3681163501901,3.000000000022,-1
20.8525363206863,52.3535737703301,4.86963108279186,6.02248933725059,48.7215738709067,4.55999994277838,333.984351757402,0.329720840667541,22.8742516167021,3.00000000002152,-1
21.8525035381317,52.3536088924637,4.86959232978336,6.29348543286324,48.9925428624736,4.55999994277838,330.468723880931,0.334801215070184,23.4456448157297,3.00000000002264,-1
22.8524714708328,52.3536514903062,4.86956528321161,6.4548625163734,49.1538755766595,4.73999977111686,334.450317382813,0.339875383588735,23.1378716442423,3.00000000002381,-1
23.8524397611618,52.353695551229,4.86954584113545,7.63308518752456,50.3320474384783,4.76000022888051,334.450317382813,0.344815027173101,23.0247839034721,4.00000000001734,-1
24.8524076938629,52.3537371511617,4.86952032578192,7.58871256839484,50.2876309731163,4.67999982833736,334.450317382813,0.349266069019853,22.7561173758197,4.00000000001635,-1
25.8523768186569,52.3537744987933,4.86949674217757,9.46804606635124,52.1669254968481,4.67999982833736,334.450317382813,0.353213630794457,21.7677665074614,4.00000000001487,-1
26.8523468971252,52.3538057897392,4.86946928643213,9.82955700810999,52.5284082197908,4.26999998092556,333.985656738281,0.357708157628122,21.7677665074619,4.00000000001238,-1
27.8523164987564,52.3538409008024,4.86943650030698,10.1592078879476,52.8580285761363,4.26999998092556,334.100646972656,0.36269773796847,21.7677665074619,4.00000000001237,-1
28.8522869348526,52.3538786769086,4.86939685011341,10.4090249193832,53.1078152888951,4.46999979019055,334.100646972656,0.367734675793634,21.7677665074617,4.00000000001356,-1
29.8522574901581,52.3539155041872,4.86935366644685,10.7302530603483,53.4290164831086,4.6300001144397,334.514892578125,0.372659036922174,21.7677665074614,3.00000000002001,-1
30.8522276878357,52.3539507169757,4.86930969505505,10.9261148767546,53.6248540794397,4.6300001144397,334.514892578125,0.377485623162638,21.7677665074614,3.00000000002001,-1
31.852198600769,52.353986706144,4.86926996334453,10.2720621200278,52.970773567686,4.59999990463137,334.514892578125,0.382573426720545,21.7677665074615,4.00000000001436,-1
