Time (s),Latitude (°),Longitude (°),Altitude (m),Altitude WGS84 (m),Speed (m/s),Direction (°),Distance (km),Horizontal Accuracy (m),Vertical Accuracy (m),Satellites
0.782450199127197,52.3939840972238,4.8683365681997,2.69559913035482,45.3385664574196,0.962099607582387,257.446551717119,0.00397551008960219,5.81227676527456,4.49233327510727,-1
1.78244268894196,52.3939672473645,4.86828489404696,2.35893651843071,45.001957752407,2.48055522446244,249.087005284423,0.0054740169298398,5.85957171985107,4.14481628532872,-1
2.78243231773376,52.3939543213914,4.8682786469674,2.64195266645402,45.2849957395416,1.27042402610501,232.240901726467,0.00795640634373346,5.87741032684656,4.39104474421191,-1
3.78242325782776,52.3939417396002,4.86824842632242,2.52842853777111,45.1715069749203,1.15188770246295,235.883218977165,0.0108404640172382,5.83014299718485,4.50363172416873,-1
4.78241431713104,52.3939213583555,4.86822213861097,2.66370895132422,45.3068314288711,1.99079419219879,222.372788994218,0.0131165598168729,5.80578819817215,4.24064015513759,-1
5.78240513801575,52.3939226900369,4.86818866584836,2.39602090604603,45.0391610699122,1.18902786610923,257.708693419887,0.0152549117767624,5.84438909561962,4.47103200257453,-1
6.78239607810974,52.3939182135773,4.86815801769731,2.12605125270784,44.7692156249797,1.16816591615804,255.237279430437,0.0172271660018913,5.96897772159555,4.28116602024442,-1
7.78238689899445,52.3939069598372,4.86813555149928,1.94810741022229,44.5913007459601,1.32779747526969,242.682245405526,0.0212057361446841,6.13176907955026,3.83371879056697,-1
8.7823783159256,52.3938712190969,4.86813830240112,2.14777446351945,44.7910164825517,1.65792914970281,194.039852597089,0.0235269519129311,6.10631030780869,3.73142430925549,-1
9.78236865997315,52.3938613996114,4.86810811460728,1.96216944698244,44.6054429231836,1.55972583801568,214.917793563709,0.0259938807491827,6.05285129952174,4.20907448468101,-1
10.7823598384857,52.393858413268,4.86807208931841,1.86031608097255,44.5036148105134,1.11761138464047,246.729690103706,0.0295313962704782,6.02678685807379,3.91407609325252,-1
11.782350897789,52.3938387659176,4.86803108547555,1.86433529108763,44.507685626467,2.30563675393077,240.877811431745,0.0313287629183748,6.13775351228647,3.50505341501681,-1
12.782341003418,52.3938238457756,4.86802089533011,1.74670547712594,44.3900827608242,1.25220676101478,236.660520544149,0.0350166724280226,6.22235360096433,3.62376490863608,-1
13.782332777977,52.3938002118092,4.86798276440798,1.58961616363376,44.2330489833669,2.42652070065873,229.660221174087,0.0361227072874876,6.16729441964599,3.18378667251705,-1
14.7823226451874,52.3937995444734,4.8679665010568,2.99573281221092,45.6391760741782,1.23943987907353,236.274655159228,0.0408464107402097,6.19283475183861,3.10281928676765,-1
15.7823140621185,52.3937800085409,4.86790468385825,2.20032176375389,44.8438286357643,2.86398755838124,237.402992517194,0.0416590201969504,6.16550499597163,3,-1
16.7823045253754,52.3937748205982,4.86789624933347,2.34374369680882,44.9872627970737,1.20247673577702,235.132525999823,0.0454909780733049,6.17883256827526,3,-1
17.7822954654694,52.3937563393173,4.86784858401338,1.80974539276212,44.4533183492285,2.43552704538207,233.461391171885,0.0469596897134225,6.21868743825883,3,-1
18.7822861671448,52.3937465703387,4.86783401596753,2.95534850098193,45.598943715266,1.31707737201661,221.892924671776,0.0503535238336882,6.23553672875114,3.09660439046206,-1
19.7822768688202,52.3937388751299,4.86778561552295,2.70968145690858,45.3533157801249,1.52577201148074,242.626547755918,0.0530869528037382,6.17799075715846,3.27024940225325,-1
20.7822684049606,52.3937239447952,4.86775361319555,3.60319134406745,46.2468653742764,1.68540098318704,239.500938939061,0.0575725144952103,6.24915314391462,3.48020948426478,-1
21.7822589874268,52.3936962373567,4.8677055681037,3.09569701366127,45.7394381022599,2.78453701455375,235.424240236529,0.0609157116232551,6.2644415705473,3.50640299135764,-1
22.7822494506836,52.3936764773081,4.86766843344398,4.01587044540793,46.6596610347839,2.90819452942025,227.477917632889,0.0630884856054569,6.2786235292902,3.64879505430605,-1
23.7822407484055,52.3936645367221,4.86764308659007,3.78571859747171,46.4295407976628,2.42101945508748,223.784141802866,0.0662829381015576,6.19563289751692,3.60120691087436,-1
24.782231092453,52.3936522879924,4.86760050228832,3.56102636177093,46.2048906781379,2.61032014684028,234.422647145544,0.0694266578792007,6.13687663637974,4.02843011602127,-1
25.7822226285934,52.3936382821563,4.86756025678038,3.71235213521868,46.3562596732033,2.71956242089189,235.415082456503,0.0723469653199692,6.07120380829773,4.08567351705521,-1
26.7822127342224,52.393628364956,4.86752040553164,3.23809660971165,45.8820413861135,2.68327150743681,241.797447357846,0.0754046825987278,6.0923659957999,4.00509833204985,-1
27.782203912735,52.3936077487455,4.86749058487672,3.32861226890236,45.9726034758686,2.66051066156257,234.789412198704,0.0784347710681214,5.98457038245604,4.06617196306808,-1
28.7821950912476,52.3935902509798,4.86745635162334,3.30282485578209,45.9468606837763,2.63669805264266,232.55217931935,0.0816505924167123,6.01100476999357,3.96911643254764,-1
29.7821855545044,52.3935699994295,4.86742251800943,3.1272383229807,45.7713224127024,2.79795081922798,229.790229435951,0.0846513487253909,5.89288605458995,3.82329169652524,-1
30.7821764945984,52.393547518806,4.86739805280337,3.54694642405957,46.1910764376098,2.76447879969163,221.577260822253,0.0861701510556236,5.87895214877008,3.65893098221195,-1
31.7845822572708,52.393536034667,4.86738593511225,3.47631303872913,46.1204662900205,2.19388555855677,217.488774505308,0.0898140561233065,5.82303515676464,3.69977943961923,-1
32.7845808267593,52.3935044910781,4.86737137886596,3.78343840595335,46.4276445422435,2.48926601790241,209.411548538548,0.0931197977757261,5.69763058616025,3.88236640232983,-1
