"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.749726277768305E9,"2025-06-12 13:04:37.768 UTC+02:00"
"PAUSE",8.740658473333388E2,1.749727151953162E9,"2025-06-12 13:19:11.953 UTC+02:00"
