timestamp,X (m/s^2),Y (m/s^2),Z (m/s^2),X (rad/s),Y (rad/s),Z (rad/s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (°),label
2025-01-01 00:00:01,-0.196842164642,2.609298934967,10.18619619583,-0.3052048696381188,-0.04364419656325049,-0.07302048893008911,52.33411782,4.864220578,4.084028199,3.549999952,185.9765625,19.29553642,4.495294807,car
2025-01-01 00:00:02,-0.45214293225346536,2.3992197078613864,9.596864010584158,-0.0103576213295387,-0.00163700935629,0.0094025278082953,52.33411782,4.864220578,4.084028199,3.549999952,185.9765625,19.29553642,4.495294807,car
2025-01-01 00:00:03,-0.382230148318,2.23538249825,9.580199372880001,-0.00024306497314210003,0.0006548555105839999,-3.098812012929999e-05,52.33411782,4.864220578,4.084028199,3.549999952,185.9765625,19.29553642,4.495294807,car
2025-01-01 00:00:04,-0.35321748046499996,2.14475795287,9.60295355533,-3.538219980198022e-05,0.0007891879685079208,-7.570729970653467e-05,52.33411782,4.864220578,4.084028199,3.549999952,185.9765625,19.29553642,4.495294807,car
2025-01-01 00:00:05,-0.3269097915504951,2.0517477250099008,9.626200035821782,-0.00010825464791499997,0.00017820294979459993,-0.0008614026027635,52.33411782,4.864220578,4.084028199,3.549999952,185.9765625,19.29553642,4.495294807,car
2025-01-01 00:00:06,-0.347626606749,2.1055080734500002,9.61876068424,0.000501196992764,-0.001230467590065,-0.0015095431381211,52.33411782,4.864220578,4.084028199,3.549999952,185.9765625,19.29553642,4.495294807,car
2025-01-01 00:00:07,-0.40398890075413,2.29009372555,9.57098303835,-0.0006350701010732673,-0.0007559132604861389,-0.001616961968789812,52.33411782,4.864220578,4.084028199,3.549999952,185.9765625,19.29553642,4.495294807,car
2025-01-01 00:00:08,-0.3347039794931089,2.1126695523564356,9.612010730673267,-0.000378689966019,-0.002557162698196,-0.0018271288624963,52.33411782,4.864220578,4.084028199,3.549999952,185.9765625,19.29553642,4.495294807,car
2025-01-01 00:00:09,-0.30215566406455,2.11088638917,9.61502145999,-0.000719859435954,-0.004559458391719,-0.0021183084091155,52.33411782,4.864220578,4.084028199,3.549999952,185.9765625,19.29553642,4.495294807,car
2025-01-01 00:00:10,-0.30259648993415844,2.2456183314257427,9.59343302661386,0.002066308155238614,-0.0013834584387059402,-0.009357941069574258,52.33411782,4.864220578,4.084028199,3.549999952,185.9765625,19.29553642,4.495294807,car
2025-01-01 00:00:11,-0.32091914520400006,2.34746791535,9.56001085513,0.0029570726706328997,-0.01154355262406,-0.0448197158052,52.33411782,4.864220578,4.084028199,3.549999952,185.9765625,19.29553642,4.495294807,car
2025-01-01 00:00:12,-0.41740250701599996,2.39352264409,9.54636074064,0.002518883519653465,-0.011950345387227721,-0.05559328998821782,52.33411782,4.864220578,4.084028199,3.549999952,185.9765625,19.29553642,4.495294807,car
2025-01-01 00:00:13,-0.43225804546039603,2.4051687229306933,9.54232099780198,0.0015500686201309999,-0.00934490182383,-0.0436182392196,52.33411782,4.864220578,4.084028199,3.549999952,185.9765625,19.29553642,4.495294807,car
2025-01-01 00:00:14,-0.34040412597383,2.27313698731,9.58318715978,0.00061947905815,-0.00544394508003,-0.022552343979299998,52.33411782,4.864220578,4.084028199,3.549999952,185.9765625,19.29553642,4.495294807,car
2025-01-01 00:00:15,-0.24042104187389998,2.13702802734,9.61412781838,0.001214649134086099,-0.009850696171936634,-0.04071959143148515,52.33411782,4.864220578,4.084028199,3.549999952,185.9765625,19.29553642,4.495294807,car
2025-01-01 00:00:16,-0.31339779089207925,2.2276705056138613,9.592686065079208,0.0014191234879777001,-0.014032315858351001,-0.0555872593075,52.33411782,4.864220578,4.084028199,3.549999952,185.9765625,19.29553642,4.495294807,car
2025-01-01 00:00:17,-0.38224960785230006,2.2894425796799998,9.57932968136,-0.0004438333609143,-0.0120931390956219,-0.0636396028472,52.33411782,4.864220578,4.084028199,3.549999952,185.9765625,19.29553642,4.495294807,car
2025-01-01 00:00:18,-0.4748216033958,2.41647740935,9.54790552834,0.0007329155733656436,-0.003739179835451485,-0.004015989505007921,52.33411782,4.864220578,4.084028199,3.549999952,185.9765625,19.29553642,4.495294807,car
2025-01-01 00:00:19,-0.32485712939148514,2.3317278796039607,9.562186617643565,0.00170024957978857,-0.000988856502464,-0.003981108088069,52.33411782,4.864220578,4.084028199,3.549999952,185.9765625,19.29553642,4.495294807,car
2025-01-01 00:00:20,-0.27935507812838,2.36564162291,9.56340280145,0.0017739773788093,-0.0059539579688538,-0.02497221368346,52.33411782,4.864220578,4.084028199,3.549999952,185.9765625,19.29553642,4.495294807,car
2025-01-01 00:00:21,-0.29371322021880003,2.31705565796,9.5759916229,0.0036715022864869306,-0.010878725161937624,-0.05457151684861386,52.33411782,4.864220578,4.084028199,3.549999952,185.9765625,19.29553642,4.495294807,car
2025-01-01 00:00:22,-0.3173756574851485,2.3325934064356435,9.564120714514852,0.0033876679139361997,-0.014112254781773099,-0.06962476816049999,52.33411782,4.864220578,4.084028199,3.549999952,185.9765625,19.29553642,4.495294807,car
2025-01-01 00:00:23,-0.356456744387,2.00991535954,9.62903382103,0.000822976957606,-0.0083489799034263,-0.052198337992922,52.33411782,4.864220578,4.084028199,3.549999952,185.9765625,19.29553642,4.495294807,car
2025-01-01 00:00:24,-0.3629995939014852,2.319088816148515,9.578905810415842,0.0025911790178773267,-0.0016011289034057422,0.0008086577959590396,52.33411782,4.864220578,4.084028199,3.549999952,185.9765625,19.29553642,4.495294807,car
