timestamp,X (m/s^2),Y (m/s^2),Z (m/s^2),fft_dom_freq_Time (s),fft_dom_magnitude_Time (s),fft_dom_freq_X (m/s^2),fft_dom_magnitude_X (m/s^2),fft_dom_freq_Y (m/s^2),fft_dom_magnitude_Y (m/s^2),fft_dom_freq_Z (m/s^2),fft_dom_magnitude_Z (m/s^2),fft_dom_freq_Time (s).1,fft_dom_magnitude_Time (s).1,fft_dom_freq_X (rad/s),fft_dom_magnitude_X (rad/s),fft_dom_freq_Y (rad/s),fft_dom_magnitude_Y (rad/s),fft_dom_freq_Z (rad/s),fft_dom_magnitude_Z (rad/s),Velocity (m/s),Direction (°),fft_dom_freq_Time (s).2,fft_dom_magnitude_Time (s).2,fft_dom_freq_Latitude (°),fft_dom_magnitude_Latitude (°),fft_dom_freq_Longitude (°),fft_dom_magnitude_Longitude (°),fft_dom_freq_Height (m),fft_dom_magnitude_Height (m),fft_dom_freq_Velocity (m/s),fft_dom_magnitude_Velocity (m/s),fft_dom_freq_Direction (°),fft_dom_magnitude_Direction (°),fft_dom_freq_Horizontal Accuracy (m),fft_dom_magnitude_Horizontal Accuracy (m),fft_dom_freq_Vertical Accuracy (°),fft_dom_magnitude_Vertical Accuracy (°),label,gyro,sustained_low_speed,sustained_medium_speed,sustained_high_speed,high_velocity_low_gyro
2025-01-01 00:00:01,-0.196842164642,2.609298934967,10.18619619583,1.0,25.76264901683548,3.38,85.38061097078395,1.0,119.11107841453038,1.0,216.03026625917775,1.0,25.942998787913847,1.4,28.90943227644821,3.68,26.318267803630523,5.42,26.679265851246623,3.549999952,185.9765625,1.0,3679.896286482125,1.0,1308.3555053870837,1.0,121.54426963273671,1.0,24.744652136926383,1.0,79.2021137492908,1.0,4132.9793124410935,1.0,114.86489833324188,1.0,90.24247795964772,car,0.3168387920505663,0,0,0,0
2025-01-01 00:00:02,-0.4521429322534653,2.3992197078613864,9.596864010584158,1.0,50.398595771430415,1.7722772277227723,19.100546948171093,1.0,61.253341741159566,1.0,238.4597222709934,1.0,50.460230150923934,8.38,10.402861479717789,12.67,8.93799632817268,1.18,13.483807816426944,3.549999952,185.9765625,1.0,3679.896286482125,1.0,1308.3555053870837,1.0,121.54426963273671,1.0,24.744652136926383,1.0,79.2021137492908,1.0,4132.9793124410935,1.0,114.86489833324188,1.0,90.24247795964772,car,0.014084305038746584,0,0,0,0
2025-01-01 00:00:03,-0.382230148318,2.23538249825,9.58019937288,1.0,75.31202100890332,1.0,9.48660882709909,1.0,55.80760143960392,1.0,239.5966124964568,1.0,75.2499158674899,25.0,0.3115268337562897,25.0,1.1854572672319257,25.52,0.0294171595968255,3.549999952,185.9765625,1.0,3679.896286482125,1.0,1308.3555053870837,1.0,121.54426963273671,1.0,24.744652136926383,1.0,79.2021137492908,1.0,4132.9793124410935,1.0,114.86489833324188,1.0,90.24247795964772,car,0.0006991970998937411,0,0,0,0
2025-01-01 00:00:04,-0.3532174804649999,2.14475795287,9.60295355533,1.0,100.16359183956592,1.0,9.702560727916882,1.0,55.89529127924048,1.0,239.55196364923407,1.0,100.22574894238775,26.1980198019802,0.3000251013042891,26.257425742574256,1.2715257083126017,26.168316831683168,0.0393727504155014,3.549999952,185.9765625,1.0,3679.896286482125,1.0,1308.3555053870837,1.0,121.54426963273671,1.0,24.744652136926383,1.0,79.2021137492908,1.0,4132.9793124410935,1.0,114.86489833324188,1.0,90.24247795964772,car,0.0007936001165129126,0,0,0,0
2025-01-01 00:00:05,-0.3269097915504951,2.0517477250099008,9.626200035821782,1.0,125.16371375458912,1.0,7.9981987190256865,1.0,51.10110300251149,1.0,240.7332018734533,1.0,125.22588335542022,26.27,0.1875568052159109,26.4,0.8076358890682955,21.48,0.0291084582077557,3.549999952,185.9765625,1.0,3679.896286482125,1.0,1308.3555053870837,1.0,121.54426963273671,1.0,24.744652136926383,1.0,79.2021137492908,1.0,4132.9793124410935,1.0,114.86489833324188,1.0,90.24247795964772,car,0.0008862786267074098,0,0,0,0
2025-01-01 00:00:06,-0.347626606749,2.10550807345,9.61876068424,1.0,150.17587641282947,1.0,8.744333544921226,1.0,52.66762480629709,1.0,240.37577408511933,1.0,150.1136183840004,26.77,0.1294455853234034,26.78,0.6646336148088047,1.0,0.0351253043682797,3.549999952,185.9765625,1.0,3679.896286482125,1.0,1308.3555053870837,1.0,121.54426963273671,1.0,24.744652136926383,1.0,79.2021137492908,1.0,4132.9793124410935,1.0,114.86489833324188,1.0,90.24247795964772,car,0.002010962307355497,0,0,0,0
2025-01-01 00:00:07,-0.40398890075413,2.29009372555,9.57098303835,1.0,175.0704024917425,1.0,9.33214336392595,1.0,54.779561784034506,1.0,239.96418602793656,1.0,175.13261967853904,25.643564356435643,0.175776328401801,25.752475247524757,0.7106463910664284,1.0,0.0416448610687022,3.549999952,185.9765625,1.0,3679.896286482125,1.0,1308.3555053870837,1.0,121.54426963273671,1.0,24.744652136926383,1.0,79.2021137492908,1.0,4132.9793124410935,1.0,114.86489833324188,1.0,90.24247795964772,car,0.0018945408148594838,0,0,0,0
2025-01-01 00:00:08,-0.3347039794931089,2.112669552356436,9.612010730673267,1.0,200.09363741284443,1.0,9.06065291310158,1.0,54.43708235006473,1.0,239.89225368970483,1.0,200.15585787008465,28.32,0.2038569494717011,28.34,1.0936519089519734,6.94,0.0405074127103994,3.549999952,185.9765625,1.0,3679.896286482125,1.0,1308.3555053870837,1.0,121.54426963273671,1.0,24.744652136926383,1.0,79.2021137492908,1.0,4132.9793124410935,1.0,114.86489833324188,1.0,90.24247795964772,car,0.0031655784677647055,0,0,0,0
2025-01-01 00:00:09,-0.30215566406455,2.11088638917,9.61502145999,1.0,225.11972016311236,2.86,8.43123282169881,1.0,53.9857173498301,1.0,240.07572599918524,1.0,225.05743463351175,29.73,0.1450022131832318,29.98,0.9857481734128544,1.0,0.0495608999798911,3.549999952,185.9765625,1.0,3679.896286482125,1.0,1308.3555053870837,1.0,121.54426963273671,1.0,24.744652136926383,1.0,79.2021137492908,1.0,4132.9793124410935,1.0,114.86489833324188,1.0,90.24247795964772,car,0.0050787881378807544,0,0,0,0
2025-01-01 00:00:10,-0.3025964899341584,2.2456183314257427,9.59343302661386,1.0,250.1477804634517,32.0,8.72143176575765,1.0,53.086462046578085,1.0,240.45427795078496,1.0,250.0854904439591,25.504950495049503,0.109777672544729,31.89108910891089,1.119080274217253,1.0,0.1066074825825666,3.549999952,185.9765625,1.0,3679.896286482125,1.0,1308.3555053870837,1.0,121.54426963273671,1.0,24.744652136926383,1.0,79.2021137492908,1.0,4132.9793124410935,1.0,114.86489833324188,1.0,90.24247795964772,car,0.009682698369032036,0,0,1,1
2025-01-01 00:00:11,-0.320919145204,2.34746791535,9.56001085513,1.0,275.1772623648144,2.86,7.840064790117554,1.0,57.786308077264806,1.0,239.2868765014345,1.0,275.1149698019089,33.83,0.1174266245610526,33.81,1.0553780416176708,1.0,0.6650639232829204,3.549999952,185.9765625,1.0,3679.896286482125,1.0,1308.3555053870837,1.0,121.54426963273671,1.0,24.744652136926383,1.0,79.2021137492908,1.0,4132.9793124410935,1.0,114.86489833324188,1.0,90.24247795964772,car,0.04637677016376562,0,0,1,1
2025-01-01 00:00:12,-0.4174025070159999,2.39352264409,9.54636074064,1.0,300.0832927715766,1.0,9.312231341781295,1.0,59.45784172386611,1.0,238.86836566290987,1.0,300.14553135267755,34.7029702970297,0.1121407926317247,35.0,1.0397322345974107,1.0,1.4099465806806413,3.549999952,185.9765625,1.0,3679.896286482125,1.0,1308.3555053870837,1.0,121.54426963273671,1.0,24.744652136926383,1.0,79.2021137492908,1.0,4132.9793124410935,1.0,114.86489833324188,1.0,90.24247795964772,car,0.05691897241494872,0,0,1,1
2025-01-01 00:00:13,-0.432258045460396,2.4051687229306933,9.54232099780198,1.0,325.1147408542388,1.0,10.348437514044308,1.0,60.26709309776928,1.0,238.5062866010512,1.0,325.1769796508264,34.16,0.1202342699588126,34.25,1.1151443812546176,1.0,1.287566263258178,3.549999952,185.9765625,1.0,3679.896286482125,1.0,1308.3555053870837,1.0,121.54426963273671,1.0,24.744652136926383,1.0,79.2021137492908,1.0,4132.9793124410935,1.0,114.86489833324188,1.0,90.24247795964772,car,0.044634971663958606,0,0,1,1
2025-01-01 00:00:14,-0.34040412597383,2.27313698731,9.58318715978,1.0,350.1468399026912,1.0,10.457771804387823,1.0,58.852058546643946,1.0,238.9336119528029,1.0,350.0845419879624,34.97,0.093492247045561,35.27,1.010732093291784,1.0,0.7732419490810453,3.549999952,185.9765625,1.0,3679.896286482125,1.0,1308.3555053870837,1.0,121.54426963273671,1.0,24.744652136926383,1.0,79.2021137492908,1.0,4132.9793124410935,1.0,114.86489833324188,1.0,90.24247795964772,car,0.02320837157791416,0,0,1,1
