"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.749658987490921E9,"2025-06-11 18:23:07.491 UTC+02:00"
"PAUSE",5.863887461250124E2,1.749659573882824E9,"2025-06-11 18:32:53.883 UTC+02:00"
