mode,feature,missing_pct,mean,median,std,min,max
biking,altitude,0.0,2.5644318636039896,1.8603329118341199,3.1450780384700927,-2.57945172209293,18.4477195739746
biking,altitude_wgs84,0.0,45.25073118933219,44.535996457745156,3.1434143142161193,40.1079444407205,61.1472811572764
biking,direction,3.5000000000000004,130.01574928514015,66.1538573867252,119.48675905108453,8.69209487073948,357.550457523281
biking,distance,0.16666666666666669,1.6290698911056751,1.73565708373429,0.7648704423930262,0.0023428591095329,2.81291808232184
biking,gyro_absolute,100.0,,,,,
biking,gyro_gyroscope_x,100.0,,,,,
biking,gyro_gyroscope_y,100.0,,,,,
biking,gyro_gyroscope_z,100.0,,,,,
biking,gyro_time,100.0,,,,,
biking,horizontal_accuracy,0.0,11.32489530530479,9.722157468476276,9.01756004972465,3.52722701837896,139.028958514402
biking,latitude,0.0,52.359825156744705,52.36051225268595,0.003505849291541608,52.3510189014307,52.3656670025772
biking,longitude,0.0,4.876528521366898,4.877047583123044,0.0064605510809514965,4.86625435084261,4.88591543637773
biking,satellites,0.0,-1.0,-1.0,0.0,-1.0,-1.0
biking,speed,0.5,3.125197290578697,3.39810188043959,1.6570982039307822,0.0,5.95527424904379
biking,time,0.0,298.35391500810783,298.35172724723805,173.34465647111847,0.077314019203186,597.850575327873
biking,vertical_accuracy,0.0,5.927914200415653,5.359090362276875,2.989590901357507,3.0,30.0237599183808
running,altitude,0.0,2.515067028269164,2.257589093409475,1.9570324659508724,-1.52714251354337,11.0485868100077
running,altitude_wgs84,0.0,45.16855907832416,44.9130326116197,1.9537355016962141,41.1223494535474,53.694028040978
running,direction,0.10121457489878542,224.41254292564875,249.077911376953,53.42341282768843,14.5132231357128,292.248664407657
running,distance,0.20242914979757085,1.1571483241763538,1.11968704081079,0.7611177550050046,0.0017854259289041,2.56491218872515
running,gyro_absolute,100.0,,,,,
running,gyro_gyroscope_x,100.0,,,,,
running,gyro_gyroscope_y,100.0,,,,,
running,gyro_gyroscope_z,100.0,,,,,
running,gyro_time,100.0,,,,,
running,horizontal_accuracy,0.0,6.430053577854106,5.15788763301869,4.934192817381464,3.87868447960312,61.6185905406387
running,latitude,0.0,52.38789652121344,52.38671764007345,0.003936035241598162,52.3779989762816,52.3939840972238
running,longitude,0.0,4.864983087082788,4.865051402853664,0.010836329719643958,4.84875673122076,4.89832489465876
running,satellites,0.0,-1.0,-1.0,0.0,-1.0,-1.0
running,speed,0.10121457489878542,2.559656148249129,2.63187351339404,0.45805579994719703,0.0,3.77584169011993
running,time,0.0,425.254515909111,419.2833945751195,276.0512380969375,0.330016613006592,912.780269861221
running,vertical_accuracy,0.0,3.608923308755558,3.1212803254514654,1.935150181567539,3.0,32.0000000000006
train,altitude,0.0,4.121570182,4.121570182,0.0,4.121570182,4.121570182
train,altitude_wgs84,0.0,47.163580420191394,47.17184614,0.05819683164442932,47.02550377,47.26715103
train,direction,100.0,,,,,
train,distance,0.4784688995215311,28.773788042565005,32.609801589396696,14.725989481908055,0.0006111697272,50.6767397428968
train,gyro_absolute,100.0,,,,,
train,gyro_gyroscope_x,100.0,,,,,
train,gyro_gyroscope_y,100.0,,,,,
train,gyro_gyroscope_z,100.0,,,,,
train,gyro_time,100.0,,,,,
train,horizontal_accuracy,0.0,1596.4068564258373,1503.698012,260.3744383733776,1196.098156,2525.947953
train,latitude,0.0,52.22635614000001,52.22358269,0.020229401480350514,52.18059438,52.28378054
train,longitude,0.0,4.571814379727273,4.564562315,0.058209714610543216,4.485804901,4.679875983
train,satellites,0.0,-1.0,-1.0,0.0,-1.0,-1.0
train,speed,100.0,,,,,
train,time,0.0,342.34267769624637,335.620677,175.00843862408163,0.005691051483,662.430905
train,vertical_accuracy,0.0,31.861928093779905,31.85008582,0.22372087574300087,31.39360166,32.27196762
walking,altitude,98.63019871130535,1.6681742694508692,1.44966989569366,1.617799020391606,-2.04644991923124,9.85439699888229
walking,altitude_wgs84,98.63019871130535,44.829511995101726,44.610686562699655,1.616972598297475,41.1175506080773,53.0121435185193
walking,direction,98.64071253698614,280.6508774771219,284.739656719845,47.95593935798916,0.0420844875150229,359.691534527117
walking,distance,98.63170068640262,0.7072614329772245,0.706850357637113,0.40267860605885675,0.0017893876409216,1.37878012413311
walking,gyro_absolute,1.3698012886946336,2.000271793406042,1.722431291,1.4403028554506991,0.002082272986,18.73425299
walking,gyro_gyroscope_x,1.3698012886946336,0.0019887779898531102,0.04970123619,1.410381118589453,-7.968396664,7.072767258
walking,gyro_gyroscope_y,1.3698012886946336,0.01977314560402905,-0.02332039177,1.7113836993361653,-17.52260208,15.08296013
walking,gyro_gyroscope_z,1.3698012886946336,-0.008767990007528845,0.02250307426,1.0757042392867737,-6.429204941,9.42265892
walking,gyro_time,1.3698012886946336,327.1635091126911,327.1550497,188.90154706277238,-0.0003644999961,654.3627245
walking,horizontal_accuracy,98.63019871130535,7.416659708233811,7.30193880973182,1.2565629174003528,4.06123060803083,12.8564467966315
walking,latitude,98.63019871130535,52.168747865021544,52.1685609684974,0.0005926900363389589,52.1678570635401,52.1703631484508
walking,longitude,98.63019871130535,4.495728510205351,4.49556759342238,0.004153576696320133,4.48917486053684,4.50314542011382
walking,satellites,98.63019871130535,-1.0,-1.0,0.0,-1.0,-1.0
walking,speed,98.63019871130535,0.9757445851525286,1.008266353570305,0.3309186472158022,0.0,1.97201776424726
walking,time,98.63019871130535,455.64066286999406,455.640679717064,263.4156760051866,0.143797278404236,911.140098571777
walking,vertical_accuracy,98.63019871130535,3.0670672697020565,3.0,0.23998472725505662,3.0,4.38732539860658
